"DataEntries: 8756, TestEntries: 1, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"342.90364389207053","338.9736379613424"
"334.5889614314273","335.9630931458565"
"315.4665000056669","313.8857644990455"
"288.1546005678677","309.8717047451785"
"307.0684616054438","310.87521968378803"
"300.76880424984876","302.8471001757685"
"298.3811719107995","291.80843585249147"
"294.08178677787754","290.80492091388203"
"291.9002975897202","283.780316344472"
"286.936074721125","280.769771528929"
"277.3709160562117","277.7592267136715"
"280.3402896758292","277.7592267136715"
"285.69464506046654","275.7521968364525"
"303.3100251894858","282.7768014058625"
"281.7672133174709","286.79086116001497"
"297.84161722803657","293.815465729425"
"324.80553536506534","311.878734622112"
"315.714871195627","316.8963093145885"
"311.0979171098319","316.8963093145885"
"311.33425101828146","320.9103690685412"
"311.73922599885975","311.878734622112"
"301.0803039091484","314.889279437655"
"309.20829245837217","315.892794375979"
"331.84270509780293","343.99121265377886"
"375.3713605276714","349.00878734622114"
"340.04436830054806","339.9771528998377"
"316.0226687206007","322.9173989455318"
"306.6764135676344","311.878734622112"
"307.2470255276711","312.8822495607215"
"301.2387654892819","307.864674868245"
"300.4454450005297","292.8119507908155"
"293.9482639021145","283.780316344472"
"281.61576676531905","275.7521968364525"
"272.41039153946696","262.706502636242"
"266.99834120584194","259.695957820699"
"268.6310734274373","276.75571177506197"
"284.6687478912854","290.80492091388203"
"340.197452346942","364.06151142355355"
"423.2709471410993","432.3005272406915"
"375.0706174580042","383.1282952548215"
"362.58605840022295","357.0369068541435"
"351.7753162519784","357.0369068541435"
"362.41905885215886","371.0861159929635"
"382.6589661649814","422.265377856024"
"393.81865011513565","389.149384885622"
"379.52603061950526","380.1177504392785"
"399.913570935825","409.219683655528"
"486.3583717047307","496.525483303991"
"542.0609463493175","513.585237258354"
"377.8351807001216","362.05448154656295"
"336.3988785653561","316.8963093145885"
"311.4527862959247","307.864674868245"
"309.7791478174812","302.8471001757685"
"301.77494532243645","300.84007029883503"
"295.3683407652843","289.8014059752725"
"286.5254583012007","289.8014059752725"
"284.65994385810507","285.7873462214055"
"294.15914889557735","287.794376098339"
"291.748675745829","283.780316344472"
"283.7470344772739","288.7978910369485"
"301.3705582691214","305.85764499131153"
"317.0160877813774","338.9736379613424"
"383.98594502511924","409.219683655528"
"376.03972032902846","368.0755711775062"
"343.22089137667933","352.0193321616956"
"350.1231676226987","342.987697715295"
"346.6224908254093","353.0228471001623"
"353.45019900544685","360.0474516696009"
"348.29839071602214","353.0228471001623"
"353.99733298954806","347.0017574692448"
"374.3881256746051","365.06502636204885"
"435.82520970092287","429.289982425434"
"464.0710088413402","456.3848857644645"
"365.82955753775263","357.0369068541435"
"325.8085140452524","344.9947275922685"
"308.54382372572144","319.9068541300459"
"318.1546483805371","318.9033391915506"
"307.0594060616961","306.8611599296355"
"298.8160084564846","295.82249560635853"
"291.76790842618215","295.82249560635853"
"287.5548197879681","288.7978910369485"
"284.5439025689287","289.8014059752725"
"287.96442960408103","291.80843585249147"
"294.2356858935607","297.829525483292"
"304.4476924459028","311.878734622112"
"324.3070137369966","342.987697715295"
"366.9801986840528","373.0931458699541"
"351.9609267439295","379.1142355009545"
"359.7827693214924","365.06502636204885"
"362.72378816276296","362.05448154656295"
"361.38228678595846","366.0685413005156"
"362.03723325006143","363.05799648505825"
"354.78047827210884","359.0439367311056"
"356.7659904688932","358.0404217926103"
"375.3728033571632","369.0790861160015"
"411.1750140676252","409.219683655528"
"469.2029759567455","484.4833040421045"
"373.31256117187553","360.0474516696009"
"328.35987345705604","336.9666080843518"
"325.0089395569624","318.9033391915506"
"319.1516410035445","322.9173989455318"
"312.6688199076538","319.9068541300459"
"308.5954952079976","300.84007029883503"
"298.7570608580942","304.854130052702"
"298.4639106666201","296.8260105446825"
"288.78666665358867","297.829525483292"
"296.42169325034865","299.8365553602255"
"299.47689645502857","308.868189806569"
"314.8686052951409","320.9103690685412"
"354.6238144517101","344.9947275922685"
"414.43452928308807","410.2231985941375"
"358.3601644478991","334.9595782073897"
"322.9938393129734","323.9209138839985"
"321.2661927286454","319.9068541300459"
"323.8705130444742","330.94551845343705"
