"DataEntries: 8756, TestEntries: 3, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"355.4774975571189","338.9736379613424"
"319.90617367598196","335.9630931458565"
"314.47400845955787","313.8857644990455"
"294.0844017912028","309.8717047451785"
"302.5981981904942","310.87521968378803"
"304.2950400806995","302.8471001757685"
"295.86929604563784","291.80843585249147"
"289.4871166293202","290.80492091388203"
"288.5715010253871","283.780316344472"
"282.85008991040036","280.769771528929"
"279.52502631169205","277.7592267136715"
"287.0230363717146","277.7592267136715"
"293.36769503425666","275.7521968364525"
"296.95150558291516","282.7768014058625"
"289.9294328973276","286.79086116001497"
"299.3265463741952","293.815465729425"
"294.82313354517964","311.878734622112"
"306.3762218942625","316.8963093145885"
"327.0451201176804","316.8963093145885"
"313.81080528735214","320.9103690685412"
"312.640661595219","311.878734622112"
"310.4477386258493","314.889279437655"
"329.54468065639406","315.892794375979"
"335.75875180631704","343.99121265377886"
"368.48738794403056","349.00878734622114"
"331.4645839300922","339.9771528998377"
"318.886354146647","322.9173989455318"
"305.67974568202396","311.878734622112"
"308.07128260201813","312.8822495607215"
"303.83383032237344","307.864674868245"
"300.3518339013166","292.8119507908155"
"288.8475588928629","283.780316344472"
"276.9441888779466","275.7521968364525"
"270.4856419571927","262.706502636242"
"267.94704870219414","259.695957820699"
"264.6392300448668","276.75571177506197"
"289.5041335714166","290.80492091388203"
"316.4730978414562","364.06151142355355"
"418.94375155163954","432.3005272406915"
"367.91749773799586","383.1282952548215"
"365.9474336979681","357.0369068541435"
"348.09303019348215","357.0369068541435"
"370.5780006500049","371.0861159929635"
"389.4921997826964","422.265377856024"
"394.16525335682655","389.149384885622"
"381.7117547661507","380.1177504392785"
"391.03619853257436","409.219683655528"
"433.7314121406848","496.525483303991"
"516.7154528784404","513.585237258354"
"370.878978138973","362.05448154656295"
"338.0412652582836","316.8963093145885"
"316.77142691331545","307.864674868245"
"311.2536473254662","302.8471001757685"
"290.4875001713646","300.84007029883503"
"294.8747669804291","289.8014059752725"
"286.96371560334967","289.8014059752725"
"292.9925032969492","285.7873462214055"
"288.33210005136397","287.794376098339"
"288.13043210731234","283.780316344472"
"291.283849060601","288.7978910369485"
"295.15901444831485","305.85764499131153"
"325.2923174741787","338.9736379613424"
"382.2339161638516","409.219683655528"
"380.58943797553155","368.0755711775062"
"358.0658435249761","352.0193321616956"
"343.0936942440539","342.987697715295"
"347.55253848172555","353.0228471001623"
"346.92631454184414","360.0474516696009"
"348.9557356366211","353.0228471001623"
"348.88212215954945","347.0017574692448"
"358.39517128025517","365.06502636204885"
"405.36687669122267","429.289982425434"
"477.5217042285757","456.3848857644645"
"375.18248517495255","357.0369068541435"
"333.9036628032257","344.9947275922685"
"327.0847135940739","319.9068541300459"
"318.1977008718916","318.9033391915506"
"307.5932322648976","306.8611599296355"
"297.74532936247056","295.82249560635853"
"292.16927089686965","295.82249560635853"
"298.66013752131266","288.7978910369485"
"287.82296783130784","289.8014059752725"
"288.09986310840293","291.80843585249147"
"293.21711338372666","297.829525483292"
"304.81037479823885","311.878734622112"
"334.7642208878333","342.987697715295"
"384.2725793708712","373.0931458699541"
"348.0655721266258","379.1142355009545"
"357.00634260343713","365.06502636204885"
"349.7409081885032","362.05448154656295"
"361.9283592711098","366.0685413005156"
"368.6439073356547","363.05799648505825"
"352.028058784233","359.0439367311056"
"356.6827672519653","358.0404217926103"
"365.11498878744953","369.0790861160015"
"409.98478065390964","409.219683655528"
"459.09371752088714","484.4833040421045"
"380.8317695009433","360.0474516696009"
"334.1383647710327","336.9666080843518"
"320.3661334455855","318.9033391915506"
"323.45653452582815","322.9173989455318"
"312.0046330933396","319.9068541300459"
"308.6632731193314","300.84007029883503"
"298.83403917772364","304.854130052702"
"299.2250985674302","296.8260105446825"
"293.0647633285635","297.829525483292"
"294.76845984861666","299.8365553602255"
"297.6103238003497","308.868189806569"
"315.6541487800943","320.9103690685412"
"348.6330333234742","344.9947275922685"
"393.74629952982","410.2231985941375"
"383.62073054122004","334.9595782073897"
"336.6443621134279","323.9209138839985"
"317.86357800848475","319.9068541300459"
"326.5308394336442","330.94551845343705"
