"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"367.44831080827305","338.9736379613424"
"325.80390946790317","335.9630931458565"
"320.4154154992727","313.8857644990455"
"301.4149367994662","309.8717047451785"
"301.6274864470931","310.87521968378803"
"304.44358316031355","302.8471001757685"
"291.0264701131568","291.80843585249147"
"285.78962647430035","290.80492091388203"
"284.6741628650579","283.780316344472"
"273.63799261784413","280.769771528929"
"276.90299673208773","277.7592267136715"
"279.6540151931622","277.7592267136715"
"281.997616817979","275.7521968364525"
"286.54370231482557","282.7768014058625"
"276.1597631117647","286.79086116001497"
"286.05894393021674","293.815465729425"
"300.71064374692077","311.878734622112"
"314.13580125436874","316.8963093145885"
"318.2575365009784","316.8963093145885"
"326.3682773606448","320.9103690685412"
"319.30129027715697","311.878734622112"
"310.94412001402753","314.889279437655"
"321.9376168026616","315.892794375979"
"334.33969595467903","343.99121265377886"
"377.0466197202445","349.00878734622114"
"334.85851326937455","339.9771528998377"
"324.6254291941084","322.9173989455318"
"313.90995585734515","311.878734622112"
"315.4195444495241","312.8822495607215"
"303.93395184786544","307.864674868245"
"297.2470963199504","292.8119507908155"
"285.47996102408695","283.780316344472"
"277.06249784430827","275.7521968364525"
"267.8605377067951","262.706502636242"
"260.8718731632025","259.695957820699"
"264.2704249938285","276.75571177506197"
"289.1220487197234","290.80492091388203"
"326.3025817420601","364.06151142355355"
"421.37603506399137","432.3005272406915"
"365.9678099640443","383.1282952548215"
"341.22747236794004","357.0369068541435"
"343.8332123587134","357.0369068541435"
"357.8811068764254","371.0861159929635"
"364.1371956284869","422.265377856024"
"382.43867852630996","389.149384885622"
"370.2323225033536","380.1177504392785"
"394.9712849003426","409.219683655528"
"439.6370369169465","496.525483303991"
"521.6947305012696","513.585237258354"
"389.85026243204834","362.05448154656295"
"328.7268428383141","316.8963093145885"
"321.0509009783659","307.864674868245"
"305.37661588381343","302.8471001757685"
"285.6162470597408","300.84007029883503"
"286.9155926288361","289.8014059752725"
"283.8490131812977","289.8014059752725"
"282.940361910268","285.7873462214055"
"285.812493698156","287.794376098339"
"291.33382495338174","283.780316344472"
"290.626616749862","288.7978910369485"
"297.9718574342377","305.85764499131153"
"324.3214592441898","338.9736379613424"
"405.303036725192","409.219683655528"
"373.62234722436034","368.0755711775062"
"341.36403835444554","352.0193321616956"
"338.82148597570983","342.987697715295"
"346.49906120638985","353.0228471001623"
"356.27177343169495","360.0474516696009"
"350.20744396315126","353.0228471001623"
"348.8178501986504","347.0017574692448"
"374.171062461611","365.06502636204885"
"414.3654673447286","429.289982425434"
"472.22834479779794","456.3848857644645"
"361.2784096529568","357.0369068541435"
"331.6590274675948","344.9947275922685"
"329.72304436319564","319.9068541300459"
"311.7474527033252","318.9033391915506"
"300.8754455183629","306.8611599296355"
"292.17423995831643","295.82249560635853"
"285.48202852780264","295.82249560635853"
"285.2263931303449","288.7978910369485"
"283.74128494035455","289.8014059752725"
"286.93282711603575","291.80843585249147"
"295.769093646457","297.829525483292"
"308.9406465104274","311.878734622112"
"330.70032388614294","342.987697715295"
"385.0735903403448","373.0931458699541"
"351.2672984889162","379.1142355009545"
"345.172902437203","365.06502636204885"
"343.1127921516899","362.05448154656295"
"357.6373955136883","366.0685413005156"
"359.35963165842423","363.05799648505825"
"352.7481477272165","359.0439367311056"
"352.97204922351295","358.0404217926103"
"368.62615454831075","369.0790861160015"
"406.78358527966765","409.219683655528"
"460.5027426883497","484.4833040421045"
"348.4355169065208","360.0474516696009"
"326.8369594967553","336.9666080843518"
"324.2863224055268","318.9033391915506"
"315.9569718924632","322.9173989455318"
"309.8810291537395","319.9068541300459"
"306.3460477280163","300.84007029883503"
"291.93040357021255","304.854130052702"
"294.3633365170681","296.8260105446825"
"289.5584887936541","297.829525483292"
"292.00812993071594","299.8365553602255"
"303.4604504648259","308.868189806569"
"319.3256770519572","320.9103690685412"
"342.58843649948864","344.9947275922685"
"394.1413472815815","410.2231985941375"
"372.3455250267813","334.9595782073897"
"327.14102594243866","323.9209138839985"
"326.42566453992254","319.9068541300459"
"329.11134326768854","330.94551845343705"
