"DataEntries: 8756, TestEntries: 24, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 11, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 501.0, Min: 127.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 24",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"266.68040966774754","273.999999999908"
"234.5032671417203","268.99999999999"
"253.92478180093522","266.999999999948"
"262.9647068628599","263.000000000051"
"256.1882105427173","264.000000000072"
"263.8905350791314","258.999999999967"
"248.039548824497","259.999999999988"
"269.96446745413675","271.000000000032"
"296.21699179851976","281.000000000055"
"305.376566729837","293.999999999954"
"300.5890864693165","293.999999999954"
"313.4508831198208","289.000000000036"
"295.6286693646327","289.000000000036"
"293.2129948277476","294.999999999975"
"281.9823244432477","293.999999999954"
"277.8507135815408","294.999999999975"
"269.9937508152803","294.999999999975"
"305.106022282742","298.0000000000006"
"310.5490491662415","301.0000000000075"
"306.98957266004544","301.0000000000075"
"307.4020898277276","294.999999999975"
"287.6205573304868","288.000000000015"
"280.2531904984656","282.000000000076"
"249.4146894525627","281.000000000055"
"266.9716688685034","276.999999999971"
"235.2486242980902","268.99999999999"
"253.8113624435763","263.000000000051"
"257.32841074750473","259.999999999988"
"249.4226503877744","259.999999999988"
"254.98550633437992","257.999999999946"
"252.71477183851323","259.999999999988"
"268.82302907584113","273.999999999908"
"294.47275871073106","286.999999999994"
"341.23701265088647","323.000000000002"
"324.1094035893622","324.0000000000043"
"329.69850028255007","301.9999999999911"
"306.0489658485044","296.9999999999983"
"312.8408589752395","312.99999999999955"
"301.45130774897007","309.0000000000072"
"335.5606917841023","309.0000000000072"
"320.6338417357322","317.0000000000069"
"326.99122467941066","336.000000000088"
"362.5954230570089","364.999999999949"
"415.6184313627915","379.000000000056"
"392.9115450524073","319.9999999999951"
"296.0404302904184","295.999999999996"
"291.0602428694564","291.000000000078"
"295.9988552317446","289.000000000036"
"276.5036002739737","282.99999999991"
"271.78542138864015","273.999999999908"
"253.92663487416013","259.999999999988"
"256.48429513864306","259.999999999988"
"252.515035595893","249.99999999996498"
"262.3210727267777","246.00000000006798"
"244.01260954919525","256.000000000091"
"267.78189842480856","273.000000000074"
"328.24741284086036","291.999999999912"
"362.7076116502124","343.000000000048"
"380.505779881575","345.999999999924"
"365.9350872938323","319.9999999999951"
"321.88665314724824","315.00000000000045"
"341.85850831561254","326.0000000000089"
"310.66191047359297","334.000000000046"
"297.1915595408815","335.000000000067"
"327.9270083154552","327.9999999999948"
"344.90059475849904","323.000000000002"
"343.27685693295854","329.9999999999994"
"325.2130603220562","318.0000000000092"
"272.0408044045813","293.999999999954"
"272.5917484839771","284.999999999952"
"289.1939223389726","277.999999999992"
"244.46294158627578","274.999999999929"
"264.77151302831237","267.999999999969"
"235.4395795455255","258.999999999967"
"192.53079839244805","227.000000000043"
"200.88697232616897","201.00000000005798"
"198.3081040836612","197.999999999995"
"183.61393600637373","212.999999999936"
"216.90057910718514","222.99999999995902"
"234.35713726198287","256.000000000091"
"238.11026255709942","271.000000000032"
"306.1117520639233","284.999999999952"
"283.0800207925793","288.000000000015"
"286.8324235217491","286.999999999994"
"289.1055412066145","285.999999999973"
"264.7717546717457","284.999999999952"
"241.24762472130334","282.99999999991"
"230.68840371988796","279.000000000013"
"267.05976517145047","281.000000000055"
"289.512741973667","284.999999999952"
"262.3623235221582","286.999999999994"
"287.7543466330974","285.999999999973"
"229.96345558584323","280.000000000034"
"266.2129703343183","272.000000000053"
"273.68301419952144","266.999999999948"
"232.98617403255406","264.000000000072"
"249.69485175391827","261.000000000009"
"234.64783760284146","256.000000000091"
"192.53079838075368","249.99999999996498"
"233.54942717702653","232.99999999998198"
"225.26592901519325","226.000000000022"
"201.6235012044073","225.00000000000102"
"216.94552644919594","234.000000000003"
"242.14839320790801","240.999999999963"
"239.0901501500378","245.000000000047"
"290.07312740443126","249.99999999996498"
"251.6276285829107","252.000000000007"
"265.3512890431568","256.000000000091"
"253.01196466514247","258.999999999967"
"256.61143837116754","259.999999999988"
"241.33415188319537","258.999999999967"
"216.66177886790769","257.999999999946"
"255.34292576045812","259.999999999988"
"266.7885611897574","266.999999999948"
"269.3220948421746","272.000000000053"
"274.6197573332008","275.99999999995"
"265.1935179333742","271.000000000032"
"247.65758843623814","266.999999999948"
