"DataEntries: 8756, TestEntries: 4, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"345.42890487922114","338.9736379613424"
"315.6470605814346","335.9630931458565"
"317.43014917948216","313.8857644990455"
"310.2065003649644","309.8717047451785"
"308.8280571884612","310.87521968378803"
"302.83929372143587","302.8471001757685"
"291.9957622298419","291.80843585249147"
"296.40262430148834","290.80492091388203"
"275.89823319171916","283.780316344472"
"275.3119426296071","280.769771528929"
"273.7843743187117","277.7592267136715"
"274.2266687308534","277.7592267136715"
"279.53815063354125","275.7521968364525"
"280.9935286826203","282.7768014058625"
"278.3769342011397","286.79086116001497"
"285.99203398265263","293.815465729425"
"300.4231330602485","311.878734622112"
"308.629239465587","316.8963093145885"
"305.3921623335107","316.8963093145885"
"316.0817505992716","320.9103690685412"
"310.47370623691023","311.878734622112"
"310.43983700407506","314.889279437655"
"313.3938128595064","315.892794375979"
"327.8062666914274","343.99121265377886"
"350.0959683568601","349.00878734622114"
"332.2249064147079","339.9771528998377"
"326.08558320656124","322.9173989455318"
"312.33551191543376","311.878734622112"
"313.0468564711168","312.8822495607215"
"301.5711055153294","307.864674868245"
"295.6525748749691","292.8119507908155"
"287.81734097343104","283.780316344472"
"269.6187857439645","275.7521968364525"
"268.88158283829034","262.706502636242"
"262.1218664100331","259.695957820699"
"264.97254759498793","276.75571177506197"
"284.0870058225065","290.80492091388203"
"308.794713963157","364.06151142355355"
"407.9262208544055","432.3005272406915"
"350.9146050127603","383.1282952548215"
"345.67999550512576","357.0369068541435"
"347.33798662566494","357.0369068541435"
"369.47648637207055","371.0861159929635"
"387.13790364443827","422.265377856024"
"377.50503436005437","389.149384885622"
"381.5610607223224","380.1177504392785"
"392.33957479605544","409.219683655528"
"449.7559188423471","496.525483303991"
"528.3632753633432","513.585237258354"
"408.3193192337634","362.05448154656295"
"339.49505648399384","316.8963093145885"
"309.2952696990641","307.864674868245"
"312.66210368100457","302.8471001757685"
"302.2416232481071","300.84007029883503"
"291.13486659899155","289.8014059752725"
"295.8079174457931","289.8014059752725"
"279.9722244219255","285.7873462214055"
"277.7731575974238","287.794376098339"
"280.5308583187234","283.780316344472"
"287.0433690768239","288.7978910369485"
"299.52609037321736","305.85764499131153"
"326.0187282049344","338.9736379613424"
"390.1105931725092","409.219683655528"
"357.484575254392","368.0755711775062"
"339.8656897418745","352.0193321616956"
"344.2746085944982","342.987697715295"
"348.44419415126623","353.0228471001623"
"352.0880854516534","360.0474516696009"
"360.7773643527762","353.0228471001623"
"351.2883785154834","347.0017574692448"
"371.0457995990111","365.06502636204885"
"414.33205090385457","429.289982425434"
"464.6414896683428","456.3848857644645"
"359.8130456595779","357.0369068541435"
"333.2421690438868","344.9947275922685"
"318.30563514714765","319.9068541300459"
"316.57830419530086","318.9033391915506"
"309.99130827912757","306.8611599296355"
"295.8417155414616","295.82249560635853"
"294.85644183737776","295.82249560635853"
"283.0229134260866","288.7978910369485"
"283.1338425236439","289.8014059752725"
"289.8151203553593","291.80843585249147"
"295.5155759031513","297.829525483292"
"308.9304125376808","311.878734622112"
"332.63674056039287","342.987697715295"
"378.4542427786876","373.0931458699541"
"345.9442787957941","379.1142355009545"
"342.01589467810345","365.06502636204885"
"347.459054352119","362.05448154656295"
"368.49622768369346","366.0685413005156"
"371.596640953736","363.05799648505825"
"355.5942361262209","359.0439367311056"
"353.5463589458863","358.0404217926103"
"372.8567124014151","369.0790861160015"
"399.70996849996516","409.219683655528"
"449.04474775559845","484.4833040421045"
"367.29325284429905","360.0474516696009"
"336.6649282244703","336.9666080843518"
"317.16354545693054","318.9033391915506"
"319.52981922238956","322.9173989455318"
"316.4157786792916","319.9068541300459"
"311.01748189872285","300.84007029883503"
"299.51092895427917","304.854130052702"
"294.73395703577853","296.8260105446825"
"294.2114018322124","297.829525483292"
"301.2039073182863","299.8365553602255"
"302.8109000058696","308.868189806569"
"316.480146794345","320.9103690685412"
"341.35564452073464","344.9947275922685"
"399.04561666470033","410.2231985941375"
"363.22813284957306","334.9595782073897"
"335.60216532858954","323.9209138839985"
"320.7891247897348","319.9068541300459"
"330.0510469834606","330.94551845343705"
