"DataEntries: 9428, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: true, Stacksize: 6, useLastXDays: false, Max: 502.0, Min: 126.0, Curve behaviour: true, Historical: true, useAverage: false, priceStack1, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 672 to 9428"
"Actual","Ideal"
"394.36176374002395","391.644991212704"
"391.23623854594166","392.305799648448"
"388.1731530365453","389.001757469164"
"382.10906978993455","385.697715290068"
"380.20352924304416","381.072056239108"
"379.44171132864443","388.34094903342"
"401.2144059550202","399.574692442948"
"399.37011028203915","398.913884007016"
"392.4675063631448","393.62741652012403"
"375.13239366283995","384.37609841820404"
"384.3107988172174","371.820738137"
"369.46096398036684","365.873462214364"
"354.1621684676916","353.31810193316"
"347.332288652493","338.780316344536"
"329.5430156295048","336.137082600996"
"328.88704716206365","334.81546572932"
"333.6810345672408","336.137082600996"
"340.6128560725313","357.94376098412"
"368.24900011659247","368.516695957904"
"377.520562282645","371.159929701256"
"389.65523264281114","390.984182776772"
"398.058761414718","395.609841827732"
"395.70105634367525","394.949033391988"
"392.8543395121255","393.62741652012403"
"393.18241906617584","392.305799648448"
"391.3523169015736","390.323374341028"
"385.87660702883375","387.019332161744"
"380.0496950164348","377.768014059824"
"373.3871974159154","377.768014059824"
"377.0974178775278","383.054481546528"
"398.0348642307557","391.644991212704"
"394.6698572699914","392.96660808438"
"388.0069150493102","387.680140597488"
"370.64966196250083","364.551845342688"
"363.5303280834097","373.142355008864"
"374.1810142619369","363.23022847101197"
"352.4588589300486","356.622144112444"
"351.92502429979504","340.762741651956"
"335.5775455423754","340.101933216212"
"334.3101631706285","335.476274165252"
"336.7081031999896","340.762741651956"
"349.3251433750476","356.622144112444"
"369.2460911137775","364.551845342688"
"372.4094285405545","365.873462214364"
"388.2787402838686","378.428822495568"
"386.22541534102163","379.0896309315"
"379.97513425097395","379.0896309315"
"377.2257217310819","381.732864674852"
"382.59854838452213","381.072056239108"
"381.3942650810659","379.0896309315"
"375.15256920590224","379.750439367244"
"374.01323332119534","375.785588752216"
"372.12956989372447","371.159929701256"
"370.54226131945904","375.124780316284"
"388.4921023792156","389.662565905096"
"390.8826717854045","392.305799648448"
"386.4240835544337","385.697715290068"
"368.0601076093577","364.551845342688"
"363.1401055726247","364.551845342688"
"363.0778795229347","359.926186291728"
"347.329055152412","355.300527240768"
"349.7991323642669","351.996485061484"
"350.21291491015955","351.33567662574"
"349.8458344981982","349.353251318132"
"358.59580361373935","353.31810193316"
"371.37070158517844","366.534270650296"
"381.361614986131","369.83831282958"
"375.7549704855625","373.142355008864"
"395.24174495202294","377.107205623892"
"384.9953465315696","379.0896309315"
"380.0677212079805","377.107205623892"
"375.20939531385136","375.785588752216"
"377.2781012175965","371.820738137"
"372.7768157012301","371.159929701256"
"366.6170225270097","365.21265377862"
