"DataEntries: 8756, TestEntries: 4, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"345.0246351608378","338.9736379613424"
"344.9675001931601","335.9630931458565"
"319.16153931471723","313.8857644990455"
"306.3725140290418","309.8717047451785"
"311.54657328714103","310.87521968378803"
"299.767761555792","302.8471001757685"
"292.38047994531587","291.80843585249147"
"290.90437895330723","290.80492091388203"
"284.6111391417277","283.780316344472"
"288.353169284385","280.769771528929"
"281.7565457428023","277.7592267136715"
"282.03944297118363","277.7592267136715"
"283.27682638768454","275.7521968364525"
"285.98912518904893","282.7768014058625"
"280.69904166925863","286.79086116001497"
"298.9530559420067","293.815465729425"
"316.0809788650017","311.878734622112"
"311.19682430981015","316.8963093145885"
"313.9349153748856","316.8963093145885"
"309.6593600328727","320.9103690685412"
"310.9177763825511","311.878734622112"
"306.11833411576947","314.889279437655"
"332.3084204198914","315.892794375979"
"346.2668658268231","343.99121265377886"
"357.66944759143087","349.00878734622114"
"349.28088254653545","339.9771528998377"
"313.00194229229214","322.9173989455318"
"309.0649924574147","311.878734622112"
"314.9424589099356","312.8822495607215"
"310.1185657247753","307.864674868245"
"295.2178363384568","292.8119507908155"
"291.2120646238909","283.780316344472"
"278.2795263604298","275.7521968364525"
"271.746134580001","262.706502636242"
"268.1185578077009","259.695957820699"
"272.81502555222096","276.75571177506197"
"281.4758446132452","290.80492091388203"
"325.7352297446489","364.06151142355355"
"423.54587400765377","432.3005272406915"
"374.3127559447981","383.1282952548215"
"362.993194172498","357.0369068541435"
"351.81078686328124","357.0369068541435"
"369.8602812288869","371.0861159929635"
"414.4732592634585","422.265377856024"
"385.34149327379146","389.149384885622"
"386.85062917546634","380.1177504392785"
"413.91493978996914","409.219683655528"
"464.25676143045973","496.525483303991"
"517.7300799744206","513.585237258354"
"353.5915115333401","362.05448154656295"
"319.5422875702955","316.8963093145885"
"313.4806922072919","307.864674868245"
"307.6461599469292","302.8471001757685"
"293.06253880863375","300.84007029883503"
"286.2677837651535","289.8014059752725"
"286.0477386465767","289.8014059752725"
"281.87877441078297","285.7873462214055"
"282.90810029472425","287.794376098339"
"285.5665479350045","283.780316344472"
"288.742302767716","288.7978910369485"
"305.81083364339236","305.85764499131153"
"326.89245365809245","338.9736379613424"
"388.21401037076043","409.219683655528"
"378.2431826203746","368.0755711775062"
"345.92448107290306","352.0193321616956"
"339.79095545064143","342.987697715295"
"347.3505223694491","353.0228471001623"
"350.45771123301887","360.0474516696009"
"349.2717931509817","353.0228471001623"
"347.900551713153","347.0017574692448"
"358.0970891323908","365.06502636204885"
"423.63776063223247","429.289982425434"
"480.6909391272353","456.3848857644645"
"357.42713781198466","357.0369068541435"
"327.0253977796971","344.9947275922685"
"320.4214528040382","319.9068541300459"
"315.89422293221725","318.9033391915506"
"305.7756739353574","306.8611599296355"
"292.5061744534064","295.82249560635853"
"290.4765869012387","295.82249560635853"
"286.41131095306224","288.7978910369485"
"286.9049659864819","289.8014059752725"
"291.033775607231","291.80843585249147"
"297.9266799185787","297.829525483292"
"313.4719371192075","311.878734622112"
"329.3128846955773","342.987697715295"
"383.80868730876034","373.0931458699541"
"375.40500095294476","379.1142355009545"
"344.2996565230387","365.06502636204885"
"358.3501248443712","362.05448154656295"
"363.0432647288876","366.0685413005156"
"369.1698462584854","363.05799648505825"
"355.22730561831474","359.0439367311056"
"348.84868442855156","358.0404217926103"
"380.94713774281473","369.0790861160015"
"422.26016878733066","409.219683655528"
"449.12718170142125","484.4833040421045"
"365.45085418759936","360.0474516696009"
"332.3988346294091","336.9666080843518"
"319.9332732396738","318.9033391915506"
"318.1662835874569","322.9173989455318"
"310.12719598339635","319.9068541300459"
"310.1619933491133","300.84007029883503"
"299.68955853147764","304.854130052702"
"298.1742030206091","296.8260105446825"
"296.29613675506334","297.829525483292"
"296.88066157198796","299.8365553602255"
"301.3812049000686","308.868189806569"
"315.2187349733778","320.9103690685412"
"348.038244485179","344.9947275922685"
"401.4310522724928","410.2231985941375"
"379.12855120682616","334.9595782073897"
"334.27404627295635","323.9209138839985"
"325.85092391461603","319.9068541300459"
"325.5837108328469","330.94551845343705"
