"DataEntries: 9428, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack1, Skewness: true, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 5050 to 9428"
"Actual","Ideal"
"366.6541149578995","356.0333919156482"
"361.1431940140444","351.0158172232003"
"354.14413844372893","349.00878734622114"
"353.40233955826534","344.9947275922685"
"324.35172097161524","336.9666080843518"
"326.08039287804723","335.9630931458565"
"317.79013711780806","335.9630931458565"
"309.91155292842836","323.9209138839985"
"311.3456965976601","300.84007029883503"
"290.18434824617555","279.766256590605"
"274.42956369246946","267.7240773287185"
"263.5888796901654","260.6994727593085"
"261.1869758025975","264.7135325131755"
"287.97876309417705","293.815465729425"
"330.0110332836756","326.9314586994844"
"350.39404942439535","340.9806678383044"
"339.8084342670741","352.0193321616956"
"346.6013332550194","342.987697715295"
"340.493425829938","345.9982425307552"
"342.58313942020123","351.0158172232003"
"347.3250657594727","351.0158172232003"
"339.1293403713483","347.0017574692448"
"339.0648353238909","343.99121265377886"
"350.27717515591263","338.9736379613424"
"348.9390181412996","335.9630931458565"
"340.1541244799878","334.9595782073897"
"343.55669354105373","333.9560632688944"
"338.3004811442058","331.9490333919038"
"317.01777504378225","329.94200351494175"
"320.4760998207529","329.94200351494175"
"312.98384895990375","337.9701230228471"
"313.20180028234927","320.9103690685412"
"309.6026906674832","295.82249560635853"
"285.8418907504969","279.766256590605"
"274.2970862629594","261.7029876976325"
"257.85525702654047","255.681898066832"
"257.2700401970052","259.695957820699"
"287.38456709966255","287.794376098339"
"322.23597231237176","321.9138840070365"
"343.36815698389506","424.2724077329575"
"429.98001465681006","388.145869947298"
"378.8823929798018","436.31458699484403"
"423.70927312283044","423.268892794348"
"412.66169631441574","415.2407732863285"
"406.3531780614441","406.20913883998503"
"383.0030438532401","391.156414762841"
"368.3657513420674","383.1282952548215"
"375.0704570310731","410.2231985941375"
"390.6334223965308","337.9701230228471"
"340.6498384966546","336.9666080843518"
"343.90831150980915","337.9701230228471"
"344.2222108945061","336.9666080843518"
"316.7027806284285","332.9525483303991"
"322.70290681097333","334.9595782073897"
"315.95044692250775","345.9982425307552"
"316.8745980258184","322.9173989455318"
"310.3804558165167","324.9244288224938"
"314.0751505273802","312.8822495607215"
"305.92641997832396","287.794376098339"
"285.9943312671744","278.7627416519955"
"277.82228436016584","267.7240773287185"
"293.25310383329014","279.766256590605"
"310.9814911909535","297.829525483292"
"305.1221550341689","313.8857644990455"
"315.2674108978268","310.87521968378803"
"320.96974854579423","319.9068541300459"
"321.7826406594426","329.94200351494175"
"335.01776840890756","327.93497363795115"
"319.4903383558047","322.9173989455318"
"316.9699804053444","315.892794375979"
"316.9305038930311","308.868189806569"
"317.60547244802285","309.8717047451785"
"318.4312981837265","311.878734622112"
