"DataEntries: 8756, TestEntries: 1, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"169.9882924028026","166.04935897443949"
"158.36135516296258","163.85320512808798"
"153.54784176836472","163.121153846066"
"154.4861581513863","161.29102564101098"
"154.1207717442437","163.121153846066"
"150.44406562091555","157.2647435896045"
"140.19778816232352","141.15961538454948"
"136.9842072999907","140.4275641025275"
"138.76649430474527","139.6955128205055"
"144.7618374242317","142.25769230758252"
"147.11617737271953","147.748076923033"
"152.19484451405222","154.7025641025275"
"150.8764082648431","160.92499999999998"
"152.58466149876574","162.389102564044"
"155.79272113715496","163.121153846066"
"160.6167697476776","163.121153846066"
"157.49609419789635","162.389102564044"
"153.56700399475815","161.657051282022"
"155.3427004246342","162.389102564044"
"160.58118299028544","162.755128205055"
"169.8753935151883","164.58525641039552"
"173.75805984987213","167.14743589747252"
"169.30801129225023","167.8794871794945"
"167.51990296920917","166.78141025646153"
"167.12271826232043","165.3173076924175"
"164.36214560024524","163.487179487077"
"162.4288633256929","163.121153846066"
"159.67942377229338","159.460897435956"
"159.9007940514504","159.09487179494502"
"154.98194311653586","157.630769230901"
"152.75906671169653","158.728846153934"
"152.82537151901732","160.558974358989"
"157.95130134457483","162.389102564044"
"160.13881904398164","165.6833333334285"
"169.0202854470024","175.566025641011"
"179.33164072915227","186.180769230901"
"182.0081590077733","186.180769230901"
"179.24337459959816","187.278846153934"
"178.52010330515984","185.4487179485935"
"180.72092877970502","183.6185897435385"
"177.8093633428222","177.76217948707702"
"175.42516440049388","174.83397435898902"
"175.5134287969233","177.76217948707702"
"178.3084346895524","177.76217948707702"
"179.37688403394745","188.376923076967"
"185.0326667836149","210.3384615384835"
"184.05114492078454","209.9724358974725"
"179.48360462317598","187.278846153934"
"173.035375153138","171.53974358960448"
"170.52882409316612","169.70961538454952"
"163.08421125184248","167.14743589747252"
"162.67873337349675","162.389102564044"
"155.23341043469532","162.755128205055"
"156.18018686986883","161.657051282022"
"154.9865390071539","155.8006410255605"
"155.4625730189092","148.846153846066"
"153.40197521477077","154.3365384615165"
"157.770327140071","161.657051282022"
"169.6431637416614","174.83397435898902"
"178.2577505625423","182.8865384615165"
"185.51638410642934","182.8865384615165"
"184.96570346128314","186.180769230901"
"185.4755992311463","183.9846153845495"
"183.38726475695492","185.0826923075825"
"180.16079076175086","184.3506410255605"
"178.29327543682408","180.3243589744395"
"178.7119309102999","178.128205128088"
"177.23875120697258","177.03012820505498"
"178.5051941677699","185.4487179485935"
"184.28379798832518","194.23333333342848"
"186.71987189852783","188.010897435956"
"184.44377662902747","185.0826923075825"
"182.08082257225482","175.566025641011"
"172.36407502680024","172.637820512923"
"168.14567952765347","166.78141025646153"
"162.50967605297689","162.02307692303302"
"162.77796169331006","157.630769230901"
"158.55925171226954","153.9705128205055"
"158.19695406917185","155.4346153845495"
"157.7509578915696","155.8006410255605"
"159.06583114381","160.92499999999998"
"161.3212485506323","164.9512820514065"
"176.2395946982063","178.8602564103955"
"184.46835839811942","195.6974358974725"
"185.45148472982225","185.81474358960452"
"181.94336404643877","178.8602564103955"
"180.64279806006252","177.396153846066"
"181.57638608262815","180.6903846154505"
"180.5276458931164","185.81474358960452"
"178.20495039143233","184.3506410255605"
"177.72451239220305","185.81474358960452"
"180.73654424670255","186.912820512923"
"183.3141626532578","191.30512820505498"
"187.81829103110124","205.580128205055"
"185.26348429599844","196.4294871794945"
"179.6116232302163","180.3243589744395"
"173.38579662128652","175.20000000000002"
"170.43873599062292","175.20000000000002"
"165.1462442536396","167.5134615384835"
"161.1623208948728","163.487179487077"
"157.18888647520822","159.09487179494502"
"157.1303688462249","156.5326923075825"
"157.51885980417427","156.1666666665715"
"158.31018719056354","156.5326923075825"
"159.96531426686178","159.460897435956"
"159.6736691723247","163.85320512808798"
"165.0966068437719","176.298076923033"
"178.6719424079535","184.3506410255605"
"177.1770413374644","184.3506410255605"
"174.28878569309387","183.25256410252751"
"176.61244706443142","180.6903846154505"
"176.89601854174586","183.25256410252751"
"176.7013191595582","183.25256410252751"
"175.86759859401616","183.25256410252751"
"174.65037670023284","183.6185897435385"
