"DataEntries: 8756, TestEntries: 24, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: false, useAverage: true, priceStack6, Skewness: true, SkewStack: 12",", useNewMethod: false"
"Range: 0 to 8756"
"Actual","Ideal"
"448.4451835772363","460.3989455183315"
"456.489994005527","455.3813708261405"
"453.63569782779155","448.3567662567305"
"456.61601656691704","459.3954305800075"
"469.30969920930886","476.45518453437046"
"493.8592978399481","475.451669595761"
"482.4898606487259","467.4235500877415"
"463.29771315406737","453.3743409489215"
"454.71318373014316","434.307557117625"
"432.39000396181314","425.2759226712815"
"411.6851207678099","406.20913883998503"
"409.5332604195559","384.131810193431"
"363.20136499673686","380.1177504392785"
"372.22164541609396","378.110720562345"
"382.6898826227964","380.1177504392785"
"409.1433702806491","413.233743409395"
"440.12244693857394","429.289982425434"
"435.5127499833602","433.304042179301"
"444.06343781110456","463.4094903338745"
"472.61470254041865","470.4340949032845"
"472.6429460962137","469.4305799649605"
"461.4091069631138","467.4235500877415"
"467.52255488018346","465.416520210808"
"450.5240785823076","462.4059753955505"
"463.7196724062865","457.388400703074"
"454.2062996904156","443.339191564254"
"439.1689834345749","443.339191564254"
"451.2604695230344","451.367311071988"
"457.6844618798457","464.413005272484"
"480.46632175831905","466.42003514941746"
"474.80869348801025","458.391915641398"
"432.9263867727861","423.268892794348"
"426.73184196348126","436.31458699484403"
"432.06511499900245","421.2618629174145"
"400.58794422286786","411.22671353246153"
"412.0680135069759","387.14235500868847"
"373.46068792045","386.1388400703645"
"381.0246523404512","379.1142355009545"
"379.43990347821284","387.14235500868847"
"414.63260099120487","411.22671353246153"
"442.4984506323316","423.268892794348"
"433.4796013132745","425.2759226712815"
"439.17547052469024","444.342706502578"
"455.94710642287436","445.3462214411875"
"446.8295995320407","445.3462214411875"
"442.00795474103455","449.36028119505454"
"450.9111412549207","448.3567662567305"
"432.68412702566116","445.3462214411875"
"444.8257044991111","446.3497363795115"
"441.242201066423","440.328646748711"
"433.01732378616373","433.304042179301"
"441.46508766639056","439.32513181010154"
"446.8866723713195","461.402460456941"
"482.3697019002281","465.416520210808"
"473.2893166286611","455.3813708261405"
"429.09972138507976","423.268892794348"
"427.0084730378321","423.268892794348"
"424.5642896741843","416.24428822493803"
"394.8592221827673","409.219683655528"
"409.5410975593338","404.2021089630515"
"394.89001845530663","403.1985940247275"
"402.965358061628","400.1880492091845"
"398.92333556966895","406.20913883998503"
"424.9766842855376","426.27943760989103"
"457.9477594419199","431.2970123023675"
"443.6706679354213","436.31458699484403"
"456.3726522087313","442.3356766256445"
"453.45233898564163","445.3462214411875"
"448.7720254651168","442.3356766256445"
"438.4524622036042","440.328646748711"
"443.9007755190698","434.307557117625"
"420.3080093556414","433.304042179301"
"437.17390303506045","424.2724077329575"
"420.31800728223607","420.258347978805"
"417.63976981230036","419.254833040481"
"431.8210419595245","431.2970123023675"
"441.3392297454796","441.332161687035"
"460.64576318700296","437.318101933168"
"450.9729756201452","423.268892794348"
"406.41725590956605","411.22671353246153"
"414.0243650998087","421.2618629174145"
"415.96686664322146","422.265377856024"
"402.66917695404607","406.20913883998503"
"410.78918419274953","432.3005272406915"
"433.91744071419","424.2724077329575"
"424.8068559365984","414.2372583480045"
"413.13384288148177","412.230228471071"
"421.93925181931115","417.2478031635475"
"431.20148425600553","428.2864674868245"
"431.3286599875866","432.3005272406915"
"449.81671592423356","442.3356766256445"
"453.95962358611797","421.2618629174145"
"425.18657632277905","417.2478031635475"
"424.26779701984384","420.258347978805"
"420.0181056728296","416.24428822493803"
"412.5090988141088","411.22671353246153"
"415.99989785591976","403.1985940247275"
"392.1253628912813","399.184534270575"
"391.95686099406197","408.2161687169185"
"417.4210366837726","437.318101933168"
"450.2449705829416","454.377855887531"
"458.2232363975401","459.3954305800075"
"447.28410865841136","441.332161687035"
"424.72300959707786","412.230228471071"
"424.3056573110499","424.2724077329575"
"425.3569161110156","422.265377856024"
"405.6857175502743","401.19156414750853"
"407.36454880419683","442.3356766256445"
"429.8594805479085","438.3216168717775"
"425.64984165315434","436.31458699484403"
"430.6995489775447","421.2618629174145"
"428.1718009740765","436.31458699484403"
"437.4709766470445","443.339191564254"
"436.3782745909059","438.3216168717775"
"445.0275998774438","434.307557117625"
"443.02990030486944","430.293497363758"
"432.7374969930279","440.328646748711"
"436.6837175146394","445.3462214411875"
"445.93573256433274","445.3462214411875"
"443.79472914135164","438.3216168717775"
"441.84490016443993","426.27943760989103"
"421.73800349339444","425.2759226712815"
"420.923981935527","440.328646748711"
"446.43840718387276","454.377855887531"
"464.8233623960564","466.42003514941746"
"471.0522861299328","465.416520210808"
"462.5223271756412","457.388400703074"
"433.80159354075556","450.363796133664"
"458.1153277142348","452.3708260105975"
"442.92432462016154","446.3497363795115"
"436.01814489531847","438.3216168717775"
"432.9749532062729","449.36028119505454"
"441.1633196487968","443.339191564254"
"428.3797819922176","442.3356766256445"
"437.98345087183606","445.3462214411875"
"459.5646379705632","455.3813708261405"
"458.1472093785675","456.3848857644645"
"460.39788605400406","461.402460456941"
"479.11154206678316","492.511423550124"
"491.6748540144815","489.500878734581"
"490.06154536404534","470.4340949032845"
"460.8463104652976","462.4059753955505"
"461.1963830745723","461.402460456941"
"450.92593619547404","459.3954305800075"
"454.93494006764547","456.3848857644645"
"453.07476507505896","454.377855887531"
"451.3319792629145","457.388400703074"
"466.45135022890173","461.402460456941"
"470.3088345528196","463.4094903338745"
"461.3379588587994","463.4094903338745"
"461.38247810309133","458.391915641398"
"445.3868724168444","447.353251318121"
"454.7771014732913","452.3708260105975"
"449.15770274857545","447.353251318121"
"417.28863229297286","438.3216168717775"
"441.5959961847789","445.3462214411875"
"421.09257264358007","435.3110720562345"
"419.0534341761145","424.2724077329575"
"423.46999595050283","423.268892794348"
"443.4330154687229","444.342706502578"
"470.4655615633768","446.3497363795115"
"461.5840226867124","448.3567662567305"
"472.3327050817039","468.427065026351"
"472.2262114638109","474.4481546571515"
"472.9040590412154","471.437609841894"
"462.52721081191646","471.437609841894"
"470.1307915154767","467.4235500877415"
"466.9878004389072","449.36028119505454"
"449.1269007317779","443.339191564254"
"442.06629268761145","433.304042179301"
"430.8596294649549","440.328646748711"
"446.16905970252395","452.3708260105975"
"460.697856086241","481.47275922684696"
"481.85611674857205","500.539543057858"
"483.980376389089","491.5079086115145"
"457.35887804978233","449.36028119505454"
"452.7287883500273","449.36028119505454"
"445.38375863568564","447.353251318121"
"433.13750092120125","440.328646748711"
"439.5758889299017","454.377855887531"
"453.41259205476257","449.36028119505454"
"443.7726586461998","448.3567662567305"
"446.9990504332416","450.363796133664"
"467.11879687081284","457.388400703074"
"463.80855160791117","458.391915641398"
"465.4686794863511","468.427065026351"
"501.81360920120915","487.4938488576475"
"493.53038855784183","500.539543057858"
"501.8093707333899","492.511423550124"
"486.6324801316","491.5079086115145"
"487.90500653218","485.486818980714"
"474.94482253659146","476.45518453437046"
"472.8294224084299","473.4446397188275"
"466.5576702163089","472.441124780218"
"467.9533968263595","475.451669595761"
"478.51285567638934","484.4833040421045"
"494.1333975716873","492.511423550124"
"512.3725431261901","511.5782073814205"
"502.7037923400521","496.525483303991"
"466.32682794971845","479.46572934962796"
"477.30844215517163","484.4833040421045"
"474.4981027315034","469.4305799649605"
"461.2477432002697","460.3989455183315"
"451.108359250768","461.402460456941"
"464.34578483558334","457.388400703074"
"454.81929367087463","456.3848857644645"
"459.2888790861631","457.388400703074"
"469.6209311788671","462.4059753955505"
"475.461095109957","467.4235500877415"
"474.3914420525301","479.46572934962796"
"511.4107009537946","489.500878734581"
"498.26484630908294","491.5079086115145"
"492.0309029085273","487.4938488576475"
"481.74660530131814","483.4797891037805"
"480.61966501374195","477.45869947269455"
"475.5582939032853","474.4481546571515"
"472.94959183601986","469.4305799649605"
"469.3263355249165","469.4305799649605"
"466.90301586636065","474.4481546571515"
"478.8976506927985","482.476274165171"
"494.3382868022053","483.4797891037805"
"501.49365308799474","493.514938488448"
"495.5128354318771","485.486818980714"
"471.52105525670464","469.4305799649605"
"476.94712434272714","474.4481546571515"
"469.7328549057443","460.3989455183315"
"456.6471818791257","456.3848857644645"
"451.01351951195363","450.363796133664"
"454.6330275499484","444.342706502578"
"443.863678003113","443.339191564254"
"446.5041471750429","444.342706502578"
"461.2514054669379","452.3708260105975"
"466.7034234320112","458.391915641398"
"466.4257156506723","461.402460456941"
"493.02267613276024","475.451669595761"
"484.6712095009427","478.462214411304"
"477.7961198897987","473.4446397188275"
"469.509294044948","472.441124780218"
"470.33660500766524","465.416520210808"
"464.1192889997059","461.402460456941"
"463.2905375111135","447.353251318121"
"447.4541135393427","441.332161687035"
"439.1178858565415","445.3462214411875"
"449.90461320665264","461.402460456941"
"470.5811593315188","472.441124780218"
"478.93161504436677","490.5043936731905"
"480.5470072474708","480.4692442882375"
"464.00807387985526","443.339191564254"
"453.210520452746","462.4059753955505"
"456.60903062685975","460.3989455183315"
"450.275426243094","457.388400703074"
"450.7052114815972","461.402460456941"
"461.72868517001376","459.3954305800075"
"455.1197079135902","457.388400703074"
"457.67832205838226","458.391915641398"
"462.9724299124251","460.3989455183315"
"462.30242098400413","462.4059753955505"
"466.08040932141387","467.4235500877415"
"479.24906575605735","466.42003514941746"
"476.16675942819177","462.4059753955505"
"465.8438650991886","469.4305799649605"
"470.6579605867416","478.462214411304"
"473.7801644194445","475.451669595761"
"475.47008909506593","467.4235500877415"
"465.520433929938","460.3989455183315"
"454.3609655492059","460.3989455183315"
"451.96803065806773","461.402460456941"
"463.97704784571624","476.45518453437046"
"489.2576507065703","489.500878734581"
"493.47583873796805","490.5043936731905"
"482.0379609440405","482.476274165171"
"462.66091280454737","467.4235500877415"
"475.8379689998274","475.451669595761"
"465.92299126429054","466.42003514941746"
"459.23695912240663","464.413005272484"
"458.13946651959714","485.486818980714"
"484.30506650236856","479.46572934962796"
"474.6516909535481","475.451669595761"
"476.3508540058166","472.441124780218"
"476.06797709054166","475.451669595761"
"480.5958706407643","477.45869947269455"
"482.720595912361","480.4692442882375"
"484.8418832282082","477.45869947269455"
"484.102746777393","468.427065026351"
"471.6422699859369","465.416520210808"
"469.5275096934672","466.42003514941746"
"459.88344490303075","466.42003514941746"
"471.9015729627066","465.416520210808"
"466.6818133248745","462.4059753955505"
"461.0035046249415","459.3954305800075"
"454.61712855446206","463.4094903338745"
"462.5499586052491","481.47275922684696"
"491.6658631781934","492.511423550124"
"488.4654656679328","494.51845342705747"
"486.96126702037776","491.5079086115145"
"478.60725428731865","483.4797891037805"
"490.3674423538223","485.486818980714"
"473.68709948105345","478.462214411304"
"470.1255180598441","470.4340949032845"
"468.48641937358855","472.441124780218"
"474.20347893360326","469.4305799649605"
"468.5761957183939","469.4305799649605"
"474.7031819701027","472.441124780218"
"480.6855497901704","490.5043936731905"
"504.96469761875505","497.52899824260055"
"502.7458160295844","503.550087873401"
"524.3991089429841","510.57469244281106"
"503.11761342693035","515.5922671352876"
"501.5292179467576","514.5887521969635"
"495.758538073026","506.560632688944"
"499.2484509483336","501.5430579964675"
"506.76104045718114","498.5325131809245"
"483.1650028148427","496.525483303991"
"484.71226232254963","497.52899824260055"
"490.86591195128415","496.525483303991"
"486.8214515682025","501.5430579964675"
"506.1049121344897","508.5676625658775"
"492.8223051758025","516.595782073897"
"498.41202485812323","502.546572935077"
"485.28699082458104","496.525483303991"
"500.6131185593621","498.5325131809245"
"488.4447082729057","492.511423550124"
"470.3795579956932","480.4692442882375"
"477.1135170910532","491.5079086115145"
"479.79173764025325","487.4938488576475"
"474.9086943704825","485.486818980714"
"485.56668804784385","488.497363796257"
"489.4350083771375","493.514938488448"
"509.7218288019135","497.52899824260055"
"505.64730432534225","498.5325131809245"
"520.5301204312271","507.5641476275535"
"510.17721676522115","508.5676625658775"
"501.4477141579377","506.560632688944"
"495.74714730328895","499.53602811953397"
"493.908335505658","497.52899824260055"
"500.47670592466676","496.525483303991"
"487.715822481931","494.51845342705747"
"490.7217687055886","494.51845342705747"
"483.0181296054014","494.51845342705747"
"490.86023408007816","496.525483303991"
"507.79783128609444","504.55360281201047"
"514.0022211094349","516.595782073897"
"508.61384252203936","498.5325131809245"
"487.56851670685944","496.525483303991"
"497.92978300776065","499.53602811953397"
"499.6117024241331","496.525483303991"
"472.47385767906064","492.511423550124"
"489.29933022353976","493.514938488448"
"485.3025110553431","491.5079086115145"
"479.73133023417955","489.500878734581"
"495.8393504338301","490.5043936731905"
"492.131261844607","494.51845342705747"
"506.3122229047882","496.525483303991"
"505.2617252443403","555.732864674814"
"558.9426318134439","511.5782073814205"
"513.6298966017386","513.585237258354"
"515.1455335972631","510.57469244281106"
"496.928291441428","503.550087873401"
"497.8177877240263","500.539543057858"
"487.636377598365","499.53602811953397"
"487.93119209514316","497.52899824260055"
"497.4467524710601","497.52899824260055"
"503.8888278204163","497.52899824260055"
"513.9606814792496","501.5430579964675"
"522.8556263238506","507.5641476275535"
"523.5860956650638","522.6168717046975"
"515.0159797759812","501.5430579964675"
"489.6561187859286","492.511423550124"
"490.6462281368961","494.51845342705747"
"496.2595886622546","491.5079086115145"
"476.41917373305694","485.486818980714"
"479.88842353132236","495.521968365667"
"487.3331093805727","494.51845342705747"
"484.6029238691269","493.514938488448"
"499.6196082387562","493.514938488448"
"502.1920405481062","497.52899824260055"
"508.15984672424105","501.5430579964675"
"510.5765380588335","506.560632688944"
"525.3166630050337","511.5782073814205"
"524.4060308657951","514.5887521969635"
"511.31771951050223","512.5817223197445"
"501.88545446830744","503.550087873401"
"497.5554126624977","500.539543057858"
"500.6974001504541","498.5325131809245"
"491.4010233764658","496.525483303991"
"496.4010718348874","496.525483303991"
"493.1818420251532","496.525483303991"
"500.03668126262994","502.546572935077"
"513.943346044892","509.57117750448697"
"529.2182453767632","558.743409490357"
"522.5895608965199","514.5887521969635"
"493.11913087111543","498.5325131809245"
"494.6713422094797","500.539543057858"
"502.96855084226297","497.52899824260055"
"478.2568799831144","493.514938488448"
"485.92439136294456","495.521968365667"
"482.2571803740292","494.51845342705747"
"487.36436043835283","493.514938488448"
"504.0334680554986","494.51845342705747"
"505.89561281685127","499.53602811953397"
"507.58267273449667","500.539543057858"
"513.6892602694007","508.5676625658775"
"532.4832283984123","520.6098418277641"
"531.6095822613335","528.6379613357835"
"528.2652657769358","521.6133567663735"
"509.39729372757836","513.585237258354"
"507.8617074608439","510.57469244281106"
"510.36583786833995","504.55360281201047"
"497.2414321176607","497.52899824260055"
"497.132724324052","495.521968365667"
"486.67517680717094","494.51845342705747"
"492.8364328190594","498.5325131809245"
"513.0687602445045","506.560632688944"
"534.1367973207067","510.57469244281106"
"515.3203355100507","498.5325131809245"
"491.7589087368092","496.525483303991"
"496.738559741108","497.52899824260055"
"491.324822068525","496.525483303991"
"481.2816240729529","493.514938488448"
"484.5491075547583","503.550087873401"
"495.16369883645007","500.539543057858"
"490.25516351747603","499.53602811953397"
"501.6229371429923","499.53602811953397"
"498.1123997498087","500.539543057858"
"502.5732754398249","504.55360281201047"
"510.33312884928137","504.55360281201047"
"498.58747179265913","504.55360281201047"
"517.5994095772123","498.5325131809245"
"497.7804271422948","498.5325131809245"
"502.32494763220336","500.539543057858"
"493.520206849222","497.52899824260055"
"500.2192934604397","492.511423550124"
"490.9016408031332","486.490333919038"
"483.70908492595504","482.476274165171"
"480.08697668463486","485.486818980714"
"484.5611345228234","497.52899824260055"
"504.9431814284173","514.5887521969635"
"524.2370205521986","518.6028119508305"
"511.5904889092398","509.57117750448697"
"496.60685461092237","503.550087873401"
"500.10666105934945","506.560632688944"
"493.0953589411783","504.55360281201047"
"491.44199598013836","500.539543057858"
"483.98324670925126","509.57117750448697"
"497.2424835766101","508.5676625658775"
"495.65962425268134","506.560632688944"
"500.1567324378325","505.5571177503345"
"507.478694575243","507.5641476275535"
"499.13048419529537","510.57469244281106"
"510.38878532139006","511.5782073814205"
"491.0395160274479","511.5782073814205"
"515.3787719422795","509.57117750448697"
"501.6390442535352","501.5430579964675"
"502.2969056971799","503.550087873401"
"491.7512992468182","500.539543057858"
"503.06130772120304","499.53602811953397"
"491.9148348321379","497.52899824260055"
"492.54403079400697","494.51845342705747"
"485.94678477137563","493.514938488448"
"491.0922644303431","498.5325131809245"
"511.4685150954448","514.5887521969635"
"532.4031918909969","521.6133567663735"
"520.6161715785765","518.6028119508305"
"501.9500872086137","511.5782073814205"
"504.74173335017906","510.57469244281106"
"498.33982037636196","502.546572935077"
"492.14592310492","499.53602811953397"
"483.68803028591486","503.550087873401"
"493.6636043458921","503.550087873401"
"498.7953938806718","503.550087873401"
"508.7767210296654","503.550087873401"
"513.3477925635971","510.57469244281106"
"518.4005901782994","520.6098418277641"
"538.5514511344985","577.8101933216535"
"562.0262496938775","603.90158172236"
"559.4617897182031","535.6625659051936"
"523.5350305129728","519.6063268891545"
"505.8258215060147","510.57469244281106"
"502.15225977548675","510.57469244281106"
"510.60600914300767","509.57117750448697"
"513.4554644815911","507.5641476275535"
"515.654350118452","507.5641476275535"
"523.5426995928937","520.6098418277641"
"539.9876011590878","539.6766256590605"
"530.9803337550876","518.6028119508305"
"502.80560533204607","505.5571177503345"
"503.0202706798951","503.550087873401"
"500.0301666330755","497.52899824260055"
"484.9148996418892","493.514938488448"
"488.33346440079606","497.52899824260055"
"492.1730560244457","496.525483303991"
"497.37062448428946","496.525483303991"
"507.546244486925","497.52899824260055"
"499.4520146028077","503.550087873401"
"514.6083154013384","507.5641476275535"
"516.8911668937972","504.55360281201047"
"540.8663535051114","523.620386643307"
"547.7164230596179","531.648506151041"
"536.4598524070758","528.6379613357835"
"516.9349621641239","518.6028119508305"
"511.5266679090688","514.5887521969635"
"508.5648504451473","507.5641476275535"
"501.28338628206427","507.5641476275535"
"507.6726936668487","506.560632688944"
"503.3528301466536","503.550087873401"
"506.7194030444762","504.55360281201047"
"519.6307499817318","517.5992970122211"
"548.346584641548","568.77855887531"
"532.7302807114245","551.7188049209469"
"506.0029232838596","505.5571177503345"
"495.8927586883772","503.550087873401"
"501.87392511892415","501.5430579964675"
"482.1490064773077","497.52899824260055"
"492.19500055208056","513.585237258354"
"504.40348144699783","508.5676625658775"
"507.61152988847743","506.560632688944"
"517.445982034662","507.5641476275535"
"507.3586802752932","514.5887521969635"
"521.7809728487841","524.623901581631"
"525.357368785936","517.5992970122211"
"547.5759176364841","566.7715289983765"
"558.8095217447091","623.9718804919805"
"582.8013270442602","575.80316344472"
"545.0143153495372","537.669595782127"
"525.8295637777263","523.620386643307"
"513.0287875082224","519.6063268891545"
"509.72424409043094","519.6063268891545"
"520.0199216413705","510.57469244281106"
"510.914309195643","509.57117750448697"
"513.5229219460407","510.57469244281106"
"524.2046065555895","523.620386643307"
"542.6732775759343","559.746924428681"
"542.0227453283665","529.6414762741075"
"507.6129366107128","514.5887521969635"
"512.8734327692832","517.5992970122211"
"509.1736401705216","508.5676625658775"
"495.8128787075324","503.550087873401"
"493.66263789707364","512.5817223197445"
"508.08528984537315","509.57117750448697"
"512.8011043904401","508.5676625658775"
"518.8259402622786","510.57469244281106"
"507.7830807733461","515.5922671352876"
"522.4270706938739","527.634446397174"
"529.9180753948821","560.7504393672905"
"554.8717126806773","622.9683655536564"
"569.5749830331363","541.683655535994"
"535.6762727200087","528.6379613357835"
"515.327294461747","517.5992970122211"
"516.3359126992398","514.5887521969635"
"518.4989904703161","514.5887521969635"
"521.5013502304203","514.5887521969635"
"522.9070556185836","516.595782073897"
"529.4023343798991","526.6309314585645"
"535.6631249627429","549.7117750440135"
"536.8527521679165","525.6274165202406"
"515.9299303917938","509.57117750448697"
"513.8113174166256","506.560632688944"
"498.84333121877177","506.560632688944"
"499.93488191174004","501.5430579964675"
"490.83044925084175","507.5641476275535"
"503.54665667015763","503.550087873401"
"510.58708201520915","502.546572935077"
"513.8113361401608","504.55360281201047"
"507.05843882995794","511.5782073814205"
"514.1673371626632","519.6063268891545"
"528.6383680530697","519.6063268891545"
"533.6940401784425","538.673110720451"
"548.4300652567015","559.746924428681"
"554.2736253967114","539.6766256590605"
"530.600840586457","522.6168717046975"
"514.542409274231","515.5922671352876"
"514.3004695769064","514.5887521969635"
"514.4002784842822","510.57469244281106"
"515.1036518271942","507.5641476275535"
"507.2589916184809","504.55360281201047"
"504.7200365615996","504.55360281201047"
"516.3961011266922","510.57469244281106"
"521.7451652812449","521.6133567663735"
"522.9153816057678","509.57117750448697"
"506.57778538784265","501.5430579964675"
"509.2442449999931","498.5325131809245"
"488.0258506259025","494.51845342705747"
"496.8228302784058","483.4797891037805"
"474.9928209904092","485.486818980714"
"484.72317953452216","484.4833040421045"
"487.2562478358982","481.47275922684696"
"489.521550446935","480.4692442882375"
"490.13709727041726","481.47275922684696"
"480.1612456958377","488.497363796257"
"488.0078107335438","491.5079086115145"
"485.093703352562","491.5079086115145"
"494.6698429290387","495.521968365667"
"493.83999524438076","493.514938488448"
"495.83031922701207","496.525483303991"
"483.87735086608296","492.511423550124"
"493.05358452317904","488.497363796257"
"483.016516716202","488.497363796257"
"489.29637015770453","484.4833040421045"
"483.21697001620987","485.486818980714"
"481.53148122910835","492.511423550124"
"496.92635612189224","505.5571177503345"
"507.4049775472468","509.57117750448697"
"506.4436043150364","500.539543057858"
"497.74470862838814","493.514938488448"
"494.9730286965878","494.51845342705747"
"483.673547602574","493.514938488448"
"484.88177616713824","490.5043936731905"
"477.057989717463","483.4797891037805"
"477.9752300009367","479.46572934962796"
"479.87862658856113","478.462214411304"
"484.8918837297239","478.462214411304"
"491.2582265500505","481.47275922684696"
"476.57121287088677","484.4833040421045"
"475.6518377362195","483.4797891037805"
"473.69225674659106","482.476274165171"
"478.2047677194179","485.486818980714"
"483.56710309985476","486.490333919038"
"487.294261343715","489.500878734581"
"476.9427360474425","492.511423550124"
"490.473944517298","486.490333919038"
"483.2488503734088","480.4692442882375"
"481.50725232442016","478.462214411304"
"479.08826065067353","482.476274165171"
"483.73484612622565","488.497363796257"
"497.3508300678727","502.546572935077"
"511.2335972892494","510.57469244281106"
"506.8527175055158","507.5641476275535"
"493.9067762969315","503.550087873401"
"496.32185961616767","504.55360281201047"
"489.5358477913681","502.546572935077"
"490.3942084845462","497.52899824260055"
"481.817792102488","487.4938488576475"
"479.7857403429642","484.4833040421045"
"483.54611816688526","481.47275922684696"
"488.69644654083754","484.4833040421045"
"500.21637766857134","495.521968365667"
"505.2815668434646","506.560632688944"
"502.0689313242667","510.57469244281106"
"523.0453431388618","527.634446397174"
"539.3847259925404","529.6414762741075"
"516.2547644238751","529.6414762741075"
"516.5295281871181","514.5887521969635"
"499.4240477149095","510.57469244281106"
"498.8375968486115","507.5641476275535"
"502.9688368834484","503.550087873401"
"495.85883178447386","502.546572935077"
"500.50130849941377","501.5430579964675"
"505.743793672414","501.5430579964675"
"512.7372071633137","509.57117750448697"
"539.1351586123296","551.7188049209469"
"531.5383324190637","542.6871704746035"
"504.7475175876765","503.550087873401"
