"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 1561.0, Min: 1.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"274.4675902454936","288.00000000022"
"265.42441218919964","281.99999999967997"
"253.29649646589087","279.99999999976"
"240.97149598042643","274.99999999996"
"229.88806288479748","279.99999999976"
"221.64963075603112","263.99999999962006"
"218.28514117140332","219.99999999981992"
"217.09894277311412","217.99999999989996"
"219.70065400745307","215.99999999998"
"223.61218887957307","222.99999999969998"
"234.8741743095236","237.99999999987995"
"253.99521784999115","256.99999999990007"
"272.07936479496146","274.0"
"283.3009549278419","277.99999999984004"
"292.55003742346736","279.99999999976"
"292.247232017161","279.99999999976"
"285.6236025678985","277.99999999984004"
"281.05450800260104","275.99999999991996"
"280.26415629031743","277.99999999984004"
"281.2522979381586","278.9999999998"
"299.9567537136104","284.00000000038"
"341.34706646938815","291.00000000010004"
"318.5470928649053","293.00000000002"
"301.3875546925045","290.00000000014006"
"284.37823343647455","286.0000000003"
"265.1024931541856","280.99999999972"
"255.05241287145577","279.99999999976"
"240.49258276059174","270.00000000016"
"228.8516715255871","269.00000000020003"
"227.65383109575907","265.00000000036005"
"225.78639494211382","268.00000000024"
"228.88454748186552","273.00000000004"
"232.9060673470533","277.99999999984004"
"253.3151287362059","287.00000000026"
"299.4677848509179","313.99999999996"
"337.9680025717502","343.00000000036"
"344.8010666472293","343.00000000036"
"344.38444980825307","346.00000000024005"
"344.56515950054643","340.99999999966"
"347.0527645895493","335.99999999986"
"350.9503639346827","319.99999999972005"
"349.84385882605403","312.00000000004"
"351.11497668721705","319.99999999972005"
"348.99414405165174","319.99999999972005"
"350.79169553397725","349.00000000012"
"317.41710836091397","409.00000000005997"
"339.5671072263028","408.0000000001"
"342.2762633446419","346.00000000024005"
"326.52177038051445","302.99999999962"
"307.8957268346606","297.99999999982003"
"284.42889623769537","291.00000000010004"
"262.2183423896322","277.99999999984004"
"243.69734496259707","278.9999999998"
"237.7116662585305","275.99999999991996"
"235.18829634340318","259.99999999978"
"235.66002257237108","240.99999999976"
"237.0801354194699","255.9999999999401"
"251.42735293321982","275.99999999991996"
"292.4245365090669","312.00000000004"
"331.116133062188","333.99999999994003"
"336.2995736885175","333.99999999994003"
"336.0555075483791","343.00000000036"
"334.78526742789967","336.99999999982"
"335.2485410914845","339.99999999970004"
"340.6423110997561","337.99999999977996"
"340.6529011127933","327.00000000022"
"334.151561552839","320.99999999968"
"328.1605206566423","317.99999999979997"
"331.9792820787704","340.99999999966"
"321.64046836270785","365.00000000025994"
"332.4830174440623","348.00000000016"
"324.83944068482566","339.99999999970004"
"306.8093095265295","313.99999999996"
"290.7857765545303","306.00000000028"
"271.1120212995696","290.00000000014006"
"251.50024131915507","276.99999999988006"
"239.60322289319004","265.00000000036005"
"233.98682067648917","254.99999999998"
"230.85825104624337","258.99999999982003"
"231.59306300417938","259.99999999978"
"235.75525311914282","274.0"
"249.15130364438244","285.00000000034004"
"286.4278142735532","323.00000000038"
"322.8347069356503","369.0000000001"
"328.4714321562617","341.99999999962"
"327.8064845148085","323.00000000038"
"332.4830174440623","318.99999999976"
"332.5091841985194","328.00000000018"
"330.5594842682267","341.99999999962"
"331.82345869458777","337.99999999977996"
"330.27003045487544","341.99999999962"
"319.101676699037","345.00000000027995"
"325.4345867326837","356.99999999979997"
"317.2222590337773","395.99999999979997"
"329.3292528086832","371.00000000002"
"320.32955510736906","327.00000000022"
"303.10951301458954","313.0"
"287.6665491632518","313.0"
"266.6259425507884","292.00000000006"
"249.13249443433233","280.99999999972"
"238.00446451199844","269.00000000020003"
"231.66234613034646","261.9999999997"
"229.19830049689529","260.99999999974"
"229.92634999445795","261.9999999997"
"234.00388060998534","270.00000000016"
"245.2004006781301","281.99999999967997"
"277.21006893782686","315.99999999988"
"315.5480753154489","337.99999999977996"
"325.94092278426257","337.99999999977996"
"320.96406303298573","334.9999999999"
"328.755826613148","328.00000000018"
"329.11830374532155","334.9999999999"
"328.2066201557264","334.9999999999"
"328.7742579714989","334.9999999999"
"326.72789540551486","335.99999999986"
"322.0892365149787","336.99999999982"
"321.362632945761","353.99999999992"
