"actual","ideal"
"290.6434855187348","278.9999999998"
"297.43128363797877","276.99999999988006"
"289.98792692927805","274.0"
"294.4567974649673","272.00000000008"
"296.43729909885076","272.00000000008"
"292.4785365650308","273.00000000004"
"309.37359135327256","281.99999999967997"
"321.8757313800282","293.99999999998"
"331.4036657340777","289.00000000017997"
"331.45462595185387","284.00000000038"
"331.1920888821623","275.99999999991996"
"305.2773458282631","272.00000000008"
"320.630423153537","267.00000000028"
"316.8791048114783","260.99999999974"
"306.4207545136966","259.99999999978"
"306.7869995092671","254.00000000002"
"297.29962754498223","241.99999999972"
"282.2650684884765","237.99999999987995"
"287.41494457420043","243.99999999964007"
"306.7869995092671","238.99999999984004"
"320.5526645428556","292.00000000006"
"336.2817238827401","371.00000000002"
"352.91258780580887","421.00000000036"
"342.41232063451935","394.99999999984"
"379.7107591667164","363.00000000034"
"363.0720801810852","336.99999999982"
"352.391411108596","334.9999999999"
"364.6854582613749","333.99999999994003"
"367.2309619360117","328.00000000018"
"334.29595563463755","323.00000000038"
"371.88007072211826","333.99999999994003"
"385.2449761631217","410.00000000001995"
"371.7174408296458","351.99999999999994"
"374.336695770186","334.9999999999"
"355.617505184346","289.00000000017997"
"336.8470592165682","278.9999999998"
"328.6133841526372","268.00000000024"
"322.72835648146093","262.9999999996601"
"303.35986453586753","271.00000000012"
"303.9350193510782","269.00000000020003"
"299.9303313354299","271.00000000012"
"306.8650893101848","273.00000000004"
"325.84707320348826","274.99999999996"
"316.98126415000525","279.99999999976"
"342.07510794327476","327.00000000022"
"397.0294624827949","409.00000000005997"
"398.1734920681462","451.99999999989996"
"389.2192266750751","452.99999999986"
"394.6751162094034","393.99999999988"
"370.06559376483426","335.99999999986"
"360.4926556080576","332.99999999998005"
"369.233520489746","332.99999999998005"
"371.2701892626541","327.00000000022"
"356.1643488458378","327.00000000022"
"383.1249612435328","335.99999999986"
"392.1265136443444","433.99999999984"
"400.1861991459273","527.00000000002"
"396.6171707345024","423.00000000028"
"382.46053702150425","371.00000000002"
"355.7759624588121","327.00000000022"
"320.3039565516836","296.99999999985994"
