"DataEntries: 8756, TestEntries: 12, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 16, SecondLayer: true, SecondLayer#: 23, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 501.0, Min: 127.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack24, Skewness: true, SkewStack: 24",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"270.5784879363011","273.999999999908"
"265.11161621292985","268.99999999999"
"261.52793464230695","266.999999999948"
"261.50676181463257","263.000000000051"
"261.10960505498724","264.000000000072"
"260.45435974055147","258.999999999967"
"263.2152309918622","259.999999999988"
"266.18987000548594","271.000000000032"
"285.966138617033","281.000000000055"
"314.9794078713081","293.999999999954"
"293.82503910566527","293.999999999954"
"292.15766886282444","289.000000000036"
"287.86901909141307","289.000000000036"
"296.0104283314136","294.999999999975"
"294.4117662948023","293.999999999954"
"294.9842561326748","294.999999999975"
"295.4569699969212","294.999999999975"
"300.7574894673144","298.0000000000006"
"318.2377495633373","301.0000000000075"
"295.6863974446072","301.0000000000075"
"305.7635312678457","294.999999999975"
"285.70565536654624","288.000000000015"
"282.36092473173625","282.000000000076"
"275.8708378406671","281.000000000055"
"269.74301420463263","276.999999999971"
"272.9123438471334","268.99999999999"
"253.345288161695","263.000000000051"
"258.5777054131612","259.999999999988"
"257.81092162757676","259.999999999988"
"255.2725511964218","257.999999999946"
"260.01589770806453","259.999999999988"
"267.4671559889107","273.999999999908"
"287.163323323281","286.999999999994"
"323.1458437033578","323.000000000002"
"329.4609846150473","324.0000000000043"
"313.6417073533581","301.9999999999911"
"301.0194168068904","296.9999999999983"
"304.6772679705951","312.99999999999955"
"309.387668849495","309.0000000000072"
"307.96395618353915","309.0000000000072"
"302.36939571563113","317.0000000000069"
"332.0305961764714","336.000000000088"
"345.298971095025","364.999999999949"
"378.054111981629","379.000000000056"
"357.14777635450315","319.9999999999951"
"281.1565474553145","295.999999999996"
"291.3521512356522","291.000000000078"
"291.62844859286287","289.000000000036"
"272.501909074756","282.99999999991"
"272.5367630677899","273.999999999908"
"274.55278814784583","259.999999999988"
"256.8469456414286","259.999999999988"
"255.98236461523175","249.99999999996498"
"247.68275974792232","246.00000000006798"
"244.67749372935657","256.000000000091"
"264.87563197695584","273.000000000074"
"296.07396432646374","291.999999999912"
"319.81906350473014","343.000000000048"
"342.893014757642","345.999999999924"
"321.8564230701997","319.9999999999951"
"312.75805114827324","315.00000000000045"
"323.35967791076564","326.0000000000089"
"332.4022314102687","334.000000000046"
"330.13678477361316","335.000000000067"
"330.6369012659057","327.9999999999948"
"329.4950508612838","323.000000000002"
"332.8984869108155","329.9999999999994"
"316.0446492707756","318.0000000000092"
"290.8723433247076","293.999999999954"
"283.744014573229","284.999999999952"
"277.7907240179303","277.999999999992"
"268.1885548516205","274.999999999929"
"270.33625699332543","267.999999999969"
"262.2484642575745","258.999999999967"
"240.02197834363892","227.000000000043"
"204.78412244487663","201.00000000005798"
"195.7602881940811","197.999999999995"
"184.35478164783095","212.999999999936"
"217.32020921640228","222.99999999995902"
"243.9343039111481","256.000000000091"
"257.0215185782955","271.000000000032"
"283.60413939195644","284.999999999952"
"298.2170440316188","288.000000000015"
"275.6779568014222","286.999999999994"
"275.73851509927556","285.999999999973"
"288.44169970677564","284.999999999952"
"292.4133502207036","282.99999999991"
"276.3558108473661","279.000000000013"
"284.4519055797512","281.000000000055"
"276.6000324709868","284.999999999952"
"288.31759770512787","286.999999999994"
"283.4506541143605","285.999999999973"
"280.23130392833895","280.000000000034"
"267.1954547916415","272.000000000053"
"264.6300347607564","266.999999999948"
"260.89296185178557","264.000000000072"
"260.34180319447404","261.000000000009"
"258.13178336386176","256.000000000091"
"237.7041422561305","249.99999999996498"
"232.2031583485296","232.99999999998198"
"224.11546138364065","226.000000000022"
"220.91394193179912","225.00000000000102"
"231.88624088498725","234.000000000003"
"251.00425583285912","240.999999999963"
"242.91972826443708","245.000000000047"
"254.3258803492725","249.99999999996498"
"249.83431224772852","252.000000000007"
"254.1873746539069","256.000000000091"
"256.5590037833484","258.999999999967"
"256.1542650401328","259.999999999988"
"261.2546345826657","258.999999999967"
"259.5778154855797","257.999999999946"
"257.338547823401","259.999999999988"
"263.36476816216845","266.999999999948"
"277.4087074432499","272.000000000053"
"271.6533472204693","275.99999999995"
"265.03133812282636","271.000000000032"
"262.66010950833584","266.999999999948"
"261.0419883726796","262.00000000003"
