"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 1561.0, Min: 1.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"294.7538382757222","288.00000000022"
"287.7925640733588","281.99999999967997"
"279.5804047311362","279.99999999976"
"273.54964162085497","274.99999999996"
"264.97400810067575","279.99999999976"
"266.9593566686675","263.99999999962006"
"250.29883060372265","219.99999999981992"
"210.62234168604175","217.99999999989996"
"209.60595450091682","215.99999999998"
"208.8976345580029","222.99999999969998"
"217.68392277906298","237.99999999987995"
"234.78881585621366","256.99999999990007"
"255.95730669551835","274.0"
"274.02149872333354","277.99999999984004"
"278.23434063862015","279.99999999976"
"280.27137464159387","279.99999999976"
"279.90812637955935","277.99999999984004"
"277.478140847522","275.99999999991996"
"275.35272544875806","277.99999999984004"
"277.49655798090174","278.9999999998"
"279.4301499170649","284.00000000038"
"282.91274339886553","291.00000000010004"
"290.1654249271154","293.00000000002"
"293.3381599446589","290.00000000014006"
"290.7160501279526","286.0000000003"
"285.6745835296661","280.99999999972"
"278.1752429608076","279.99999999976"
"273.40657328867405","270.00000000016"
"260.382475673606","269.00000000020003"
"258.32463193546096","265.00000000036005"
"254.44766175724396","268.00000000024"
"257.7632576545029","273.00000000004"
"264.73247466269913","277.99999999984004"
"274.72131017907583","287.00000000026"
"287.3211172078466","313.99999999996"
"311.9912892592039","343.00000000036"
"339.8706672010499","343.00000000036"
"339.89892668796296","346.00000000024005"
"342.8044227632547","340.99999999966"
"338.03691040189705","335.99999999986"
"333.1668709260952","319.99999999972005"
"317.9964096117788","312.00000000004"
"310.1347359216541","319.99999999972005"
"317.90395026978524","319.99999999972005"
"317.7915321511134","349.00000000012"
"346.8493016214597","409.00000000005997"
"399.6689943653617","408.0000000001"
"402.4721766358979","346.00000000024005"
"345.61071557999344","302.99999999962"
"303.64053057626927","297.99999999982003"
"298.9114526573523","291.00000000010004"
"289.150260952319","277.99999999984004"
"272.3055429926658","278.9999999998"
"271.5408724227283","275.99999999991996"
"267.72471337461536","259.99999999978"
"252.1233133850601","240.99999999976"
"235.16297200411225","255.9999999999401"
"252.99358040751179","275.99999999991996"
"276.21784010296903","312.00000000004"
"310.0508253176673","333.99999999994003"
"331.531927426436","333.99999999994003"
"331.76198193006593","343.00000000036"
"340.3802977291606","336.99999999982"
"334.7659730376292","339.99999999970004"
"337.00780438376546","337.99999999977996"
"335.1230925592723","327.00000000022"
"324.5739595950555","320.99999999968"
"318.82725011832696","317.99999999979997"
"315.863182178519","340.99999999966"
"339.7839432817547","365.00000000025994"
"360.4186304622559","348.00000000016"
"344.808258216466","339.99999999970004"
"339.26001238670693","313.99999999996"
"314.8223265049306","306.00000000028"
"307.39873752321733","290.00000000014006"
"288.16804056174067","276.99999999988006"
"271.6025406101604","265.00000000036005"
"257.8311027387505","254.99999999998"
"247.62758298539347","258.99999999982003"
"251.7278847046639","259.99999999978"
"254.06198142578614","274.0"
"271.71427796185907","285.00000000034004"
"285.07735463209224","323.00000000038"
"320.7490688576314","369.0000000001"
"364.0218649956829","341.99999999962"
"339.07702832616815","323.00000000038"
"321.7626222241229","318.99999999976"
"317.9952792960618","328.00000000018"
"325.6727122443594","341.99999999962"
"339.00952861382336","337.99999999977996"
"335.11410001716666","341.99999999962"
"339.02614749548513","345.00000000027995"
"341.72904858364393","356.99999999979997"
"354.5507630820429","395.99999999979997"
"388.0596241420274","371.00000000002"
"366.60049060583486","327.00000000022"
"325.87590902960847","313.0"
"313.58547250809596","313.0"
"314.8286264709317","292.00000000006"
"290.81996496277134","280.99999999972"
"276.32960453983185","269.00000000020003"
"262.01094964201104","261.9999999997"
"254.5735794022521","260.99999999974"
"253.8733434859215","261.9999999997"
"256.3184415050264","270.00000000016"
"267.65544441029147","281.99999999967997"
"282.1253212304872","315.99999999988"
"314.2587641976591","337.99999999977996"
"335.81928476032255","337.99999999977996"
"335.1524242560199","334.9999999999"
"333.60542754455594","328.00000000018"
"327.01016285573854","334.9999999999"
"332.6179346730066","334.9999999999"
"332.76578543545753","334.9999999999"
"332.40032890293037","335.99999999986"
"333.1679835731112","336.99999999982"
"334.2331929083223","353.99999999992"
