"DataEntries: 7831, TestEntries: 24, Epochs: 5000, UseTestData: true, LimitEntries: true, Firstlayer#: 25, SecondLayer: true, SecondLayer#: 10"
"Actual","Ideal"
"490.9880522027511","460.3989455183315"
"496.58575777048804","455.3813708261405"
"481.5883746734029","448.3567662567305"
"469.82574293215555","459.3954305800075"
"479.64384493068326","476.45518453437046"
"502.20080788795065","475.451669595761"
"501.8286160876063","467.4235500877415"
"458.37510374266583","453.3743409489215"
"491.2366120132202","434.307557117625"
"462.89734748790477","425.2759226712815"
"470.067960842011","406.20913883998503"
"465.8165548881976","384.131810193431"
"452.284622429124","380.1177504392785"
"450.9134905382981","378.110720562345"
"453.94549954971","380.1177504392785"
"461.1604218943447","413.233743409395"
"454.7056123782913","429.289982425434"
"467.97757636719166","433.304042179301"
"492.51441995831004","463.4094903338745"
"511.5303882283389","470.4340949032845"
"499.19698630457333","469.4305799649605"
"496.63747280967834","467.4235500877415"
"494.29126273358975","465.416520210808"
"470.7927710313098","462.4059753955505"
"474.637603502498","457.388400703074"
"494.27028656021776","443.339191564254"
"476.82452831401486","443.339191564254"
"472.9341344433499","451.367311071988"
"471.43539571118345","464.413005272484"
"474.0995962057446","466.42003514941746"
"468.76884126655915","458.391915641398"
"451.57223644692897","423.268892794348"
"458.34455668018273","436.31458699484403"
"432.7077820895194","421.2618629174145"
"420.59377677668783","411.22671353246153"
"453.6510012671524","387.14235500868847"
"438.81336901190684","386.1388400703645"
"425.1091439175748","379.1142355009545"
"423.18690344493626","387.14235500868847"
"451.43826313362257","411.22671353246153"
"457.6750255072002","423.268892794348"
"454.10278961140415","425.2759226712815"
"475.05017335688206","444.342706502578"
"482.1301283417083","445.3462214411875"
"478.6607702576316","445.3462214411875"
"469.22084535350814","449.36028119505454"
"469.5642547365146","448.3567662567305"
"461.06412211794225","445.3462214411875"
"463.421160166603","446.3497363795115"
"462.66263894526173","440.328646748711"
"464.2345831098735","433.304042179301"
"467.8597640798912","439.32513181010154"
"473.1872516669922","461.402460456941"
"502.79318733312516","465.416520210808"
"506.8684225148877","455.3813708261405"
"465.26535790299664","423.268892794348"
"485.41760150183285","423.268892794348"
"448.37146546646045","416.24428822493803"
"442.00700499010384","409.219683655528"
"450.3420777918872","404.2021089630515"
"434.7208896108772","403.1985940247275"
"422.4404000912287","400.1880492091845"
"439.22438384749745","406.20913883998503"
"452.15595897739536","426.27943760989103"
"487.1411344710835","431.2970123023675"
"463.8964453119402","436.31458699484403"
"477.9246218578161","442.3356766256445"
"483.60167248509015","445.3462214411875"
