"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 632.0, Min: 61.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.5"
"Range: 6567 to 8756"
"Actual","Ideal"
"188.55030556369482","166.04935897443949"
"180.6853700674727","163.85320512808798"
"165.0423854243331","163.121153846066"
"160.2776539512657","161.29102564101098"
"156.70523360815596","163.121153846066"
"147.2982848728999","157.2647435896045"
"141.17830547524898","141.15961538454948"
"136.46828225687545","140.4275641025275"
"139.44411477924714","139.6955128205055"
"147.2894686160747","142.25769230758252"
"149.85523783590597","147.748076923033"
"146.9614909271469","154.7025641025275"
"150.64747816740274","160.92499999999998"
"154.37006778638394","162.389102564044"
"156.33291032920454","163.121153846066"
"156.58277668531585","163.121153846066"
"155.9367284587569","162.389102564044"
"156.5367266053484","161.657051282022"
"157.90569726608513","162.389102564044"
"158.53631670999113","162.755128205055"
"162.23427026066113","164.58525641039552"
"167.55560341140082","167.14743589747252"
"167.8877035311186","167.8794871794945"
"170.6996616499932","166.78141025646153"
"172.18605466199656","165.3173076924175"
"164.2934920251934","163.487179487077"
"162.25489085614493","163.121153846066"
"162.29762099753782","159.460897435956"
"161.230290313059","159.09487179494502"
"152.2638181875613","157.630769230901"
"149.0022846944537","158.728846153934"
"147.2024647962978","160.558974358989"
"147.83578343623805","162.389102564044"
"156.3100678743882","165.6833333334285"
"168.8955250978658","175.566025641011"
"181.45125232420844","186.180769230901"
"184.2389897536765","186.180769230901"
"181.54350379095015","187.278846153934"
"183.77673898232098","185.4487179485935"
"183.7380969891893","183.6185897435385"
"177.7135938256823","177.76217948707702"
"175.98932886573562","174.83397435898902"
"174.67533937821005","177.76217948707702"
"177.6033604783042","177.76217948707702"
"182.8386949545954","188.376923076967"
"189.15027145646314","210.3384615384835"
"185.050609834162","209.9724358974725"
"180.02972051161927","187.278846153934"
"166.93382159893858","171.53974358960448"
"168.64450214817643","169.70961538454952"
"163.76975848457448","167.14743589747252"
"160.88627492555034","162.389102564044"
"157.27521514089491","162.755128205055"
"155.09822773891975","161.657051282022"
"152.7750049201855","155.8006410255605"
"149.08139227780717","148.846153846066"
"147.03404727841033","154.3365384615165"
"152.0551760720157","161.657051282022"
"169.24741075021478","174.83397435898902"
"180.65759676220245","182.8865384615165"
"182.1868927232952","182.8865384615165"
"185.76788490678314","186.180769230901"
"187.01594199486635","183.9846153845495"
"185.70351416128847","185.0826923075825"
"181.79778171577155","184.3506410255605"
"180.26411921775966","180.3243589744395"
"177.35971097166708","178.128205128088"
"179.12804889688076","177.03012820505498"
"183.58360485797624","185.4487179485935"
"193.5131454238787","194.23333333342848"
"187.9369164809501","188.010897435956"
"180.64284628396717","185.0826923075825"
"175.12211138213408","175.566025641011"
"172.43170912917333","172.637820512923"
"168.86309319582287","166.78141025646153"
"164.77208987784158","162.02307692303302"
"156.08008302125538","157.630769230901"
"155.5344494987189","153.9705128205055"
"151.87654757868683","155.4346153845495"
"148.60969672541432","155.8006410255605"
"150.00748896315673","160.92499999999998"
"156.20114011940845","164.9512820514065"
"172.22179343570775","178.8602564103955"
"179.01625823723074","195.6974358974725"
"181.23983798092323","185.81474358960452"
"185.02370309312093","178.8602564103955"
"181.892201152333","177.396153846066"
"180.4230939457152","180.6903846154505"
"179.5381757616516","185.81474358960452"
"179.09973628065097","184.3506410255605"
"176.44286309616606","185.81474358960452"
"178.34293246249146","186.912820512923"
"183.73239535228666","191.30512820505498"
"187.64936053700174","205.580128205055"
"181.37965466087098","196.4294871794945"
"180.0868999427953","180.3243589744395"
"170.67570427674585","175.20000000000002"
"171.07265924619028","175.20000000000002"
"167.68131590877053","167.5134615384835"
"163.40488537800255","163.487179487077"
"156.1465915274603","159.09487179494502"
"154.3159362229271","156.5326923075825"
"151.51405525864428","156.1666666665715"
"150.4340726286439","156.5326923075825"
"155.06939679002647","159.460897435956"
"159.62417323606385","163.85320512808798"
"172.6599333663971","176.298076923033"
"182.5539903533645","184.3506410255605"
"176.96458019064755","184.3506410255605"
"180.61235596632895","183.25256410252751"
"178.10799769517416","180.6903846154505"
"180.5079168778702","183.25256410252751"
"183.91533198113376","183.25256410252751"
"181.8159259465703","183.25256410252751"
"180.79012856767076","183.6185897435385"
