"DataEntries: 8756, TestEntries: 24, Epochs: 3000, UseTestData: true, LimitEntries: true, Firstlayer#: 7, SecondLayer: true, SecondLayer#: 17, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 1561.0, Min: 1.0, Curve behaviour: false, Historical: true, useAverage: false, priceStack24, Skewness: false, SkewStack: 12",", useNewMethod: false"
"Range: 6567 to 8756"
"Actual","Ideal"
"286.76746636855256","288.00000000022"
"268.5438269193477","281.99999999967997"
"274.00470304264223","279.99999999976"
"260.98455147744335","274.99999999996"
"273.0405011136706","279.99999999976"
"257.35239176574896","263.99999999962006"
"236.51167422408946","219.99999999981992"
"225.0890731581169","217.99999999989996"
"170.9878664322939","215.99999999998"
"230.18200436379266","222.99999999969998"
"207.29139678751073","237.99999999987995"
"226.33495166113357","256.99999999990007"
"265.3224679536935","274.0"
"261.9457644386349","277.99999999984004"
"241.9643562850531","279.99999999976"
"266.4912906090948","279.99999999976"
"241.1767224960895","277.99999999984004"
"244.71204946498256","275.99999999991996"
"258.1694479039087","277.99999999984004"
"331.3789028192319","278.9999999998"
"301.87373760557944","284.00000000038"
"339.00155885356634","291.00000000010004"
"275.1024896734699","293.00000000002"
"287.1423488735372","290.00000000014006"
"285.61596867346793","286.0000000003"
"292.00382432626446","280.99999999972"
"291.59768967665275","279.99999999976"
"265.2488390266228","270.00000000016"
"270.8632462384416","269.00000000020003"
"239.56291828494773","265.00000000036005"
"256.61585585441424","268.00000000024"
"225.0890731581169","273.00000000004"
"265.439917882818","277.99999999984004"
"297.95420535349103","287.00000000026"
"316.05911112601285","313.99999999996"
"302.80491937303503","343.00000000036"
"331.67997285419267","343.00000000036"
"337.21405569014377","346.00000000024005"
"345.23335377111783","340.99999999966"
"366.3861624551918","335.99999999986"
"294.47418965206606","319.99999999972005"
"302.7798599353339","312.00000000004"
"318.1932815119642","319.99999999972005"
"347.6055283434185","319.99999999972005"
"330.6041999174066","349.00000000012"
"425.97191295757773","409.00000000005997"
"371.8674573401606","408.0000000001"
"359.00554166606","346.00000000024005"
"328.4692832090175","302.99999999962"
"309.00305519708826","297.99999999982003"
"272.4802073307493","291.00000000010004"
"290.0807787059546","277.99999999984004"
"277.9914321237817","278.9999999998"
"279.39738915473566","275.99999999991996"
"255.4795378689896","259.99999999978"
"225.0890731581169","240.99999999976"
"233.39525833539642","255.9999999999401"
"292.71162592461536","275.99999999991996"
"287.3840872983948","312.00000000004"
"312.89303171579974","333.99999999994003"
"345.2545583528171","333.99999999994003"
"324.18319062855494","343.00000000036"
"330.1305142175588","336.99999999982"
"314.4825731933428","339.99999999970004"
"295.99735385473605","337.99999999977996"
"306.36719157987045","327.00000000022"
"313.64486001788913","320.99999999968"
"295.2950098804479","317.99999999979997"
"328.2950802188707","340.99999999966"
"366.39868288088223","365.00000000025994"
"337.3347425562384","348.00000000016"
"347.1171501609726","339.99999999970004"
"323.9794199934639","313.99999999996"
"311.9949674230654","306.00000000028"
"277.1843094790007","290.00000000014006"
"279.4349163020781","276.99999999988006"
"281.5373440578109","265.00000000036005"
"271.7911753162821","254.99999999998"
"237.10797304102255","258.99999999982003"
"225.0890731581169","259.99999999978"
"270.513618625152","274.0"
"297.82553365419324","285.00000000034004"
"312.5003926932482","323.00000000038"
"327.90681213900115","369.0000000001"
"338.30983812480525","341.99999999962"
"327.0059557813653","323.00000000038"
"329.2980861295637","318.99999999976"
"320.0942833427444","328.00000000018"
"296.27857399891866","341.99999999962"
"316.06849438877634","337.99999999977996"
"353.1466424711006","341.99999999962"
"357.7990759265975","345.00000000027995"
"341.03180622128684","356.99999999979997"
"394.1494882470028","395.99999999979997"
"370.16582277961135","371.00000000002"
"325.6357764651744","327.00000000022"
"315.0084266943266","313.0"
"311.23592127824935","313.0"
"292.4661157131277","292.00000000006"
"275.3880208469947","280.99999999972"
"271.79521884756184","269.00000000020003"
"253.66512513332634","261.9999999997"
"256.3116924632087","260.99999999974"
"225.0890731581169","261.9999999997"
"268.6885170997382","270.00000000016"
"276.59667255556764","281.99999999967997"
"293.48059994018877","315.99999999988"
"318.56469622450516","337.99999999977996"
"346.2280497379216","337.99999999977996"
"324.0436966075632","334.9999999999"
"327.3583646355922","328.00000000018"
"324.92311761337226","334.9999999999"
"293.5338236992977","334.9999999999"
"302.9484234916496","334.9999999999"
"330.2526849718317","335.99999999986"
"345.4272028892245","336.99999999982"
"328.6101507596305","353.99999999992"
"387.9299773433961","393.99999999988"
