"actual","ideal"
"303.45013894643233","278.9999999998"
"324.53555132819446","276.99999999988006"
"337.29984304862893","274.0"
"345.6392780508163","272.00000000008"
"352.6785114499858","272.00000000008"
"355.5638845977157","273.00000000004"
"361.89311339688174","281.99999999967997"
"372.1102056380941","293.99999999998"
"380.06196924201276","289.00000000017997"
"380.1768261692474","284.00000000038"
"370.9135394606382","275.99999999991996"
"353.11297422222","272.00000000008"
"339.11386125377163","267.00000000028"
"316.8583184559658","260.99999999974"
"305.55242430168795","259.99999999978"
"300.0149040434824","254.00000000002"
"299.4379649016372","241.99999999972"
"301.6649530731705","237.99999999987995"
"304.6316496186253","243.99999999964007"
"310.6876826075279","238.99999999984004"
"323.2882820424247","292.00000000006"
"339.7641142394619","371.00000000002"
"357.7561704626431","421.00000000036"
"373.9664281661415","394.99999999984"
"401.21325555408214","363.00000000034"
"405.47805135499107","336.99999999982"
"405.8143393622537","334.9999999999"
"402.8053439893723","333.99999999994003"
"395.6818366612635","328.00000000018"
"383.9262707484734","323.00000000038"
"369.8473761344888","333.99999999994003"
"355.88355421560806","410.00000000001995"
"339.6974149434191","351.99999999999994"
"323.05841909473753","334.9999999999"
"305.7147506009361","289.00000000017997"
"290.00786378949186","278.9999999998"
"276.78294885707743","268.00000000024"
"265.85138219891246","262.9999999996601"
"275.66328860355816","271.00000000012"
"285.19615601711877","269.00000000020003"
"296.1982391689922","271.00000000012"
"308.49444619279313","273.00000000004"
"321.90697377877575","274.99999999996"
"336.0359963466968","279.99999999976"
"349.5239537819415","327.00000000022"
"360.7665436642901","409.00000000005997"
"370.1122604646502","451.99999999989996"
"378.04128956754516","452.99999999986"
"477.7908296747426","393.99999999988"
"497.8165881855518","335.99999999986"
"513.642933024576","332.99999999998005"
"525.9023084642419","332.99999999998005"
"533.2183261134488","327.00000000022"
"533.2693087820024","327.00000000022"
"535.2945156372276","335.99999999986"
"539.9084113622823","433.99999999984"
"546.4486817325824","527.00000000002"
"549.1646256622224","423.00000000028"
"542.9377544359047","371.00000000002"
"521.6693136423007","327.00000000022"
"477.0379844031948","296.99999999985994"
"442.38243757291065","282.99999999963995"
"366.2475007944081","292.00000000006"
"333.7413887686214","288.00000000022"
"317.94844881524637","286.0000000003"
"314.79471534408526","288.00000000022"
"315.99276478163455","296.99999999985994"
"332.81053450218457","323.00000000038"
"360.4082162896249","334.9999999999"
"391.5253678909037","416.99999999974"
"420.57238553569385","444.00000000022"
"444.2460696563109","454.99999999978"
"453.70617595288496","463.00000000024"
"449.76657844852684","441.00000000034004"
"443.97454963275277","434.9999999998"
"436.0087415205518","408.0000000001"
"426.68246732482896","377.99999999974"
"415.79484710962885","366.00000000022"
