"actual","ideal"
"276.6073571127655","278.9999999998"
"279.8257019697612","276.99999999988006"
"281.675952473078","274.0"
"283.8379840232067","272.00000000008"
"285.7520740132132","272.00000000008"
"286.8294267651927","273.00000000004"
"288.918926793188","281.99999999967997"
"290.66845147982633","293.99999999998"
"292.12361389413763","289.00000000017997"
"293.2506195300212","284.00000000038"
"294.81436031995923","275.99999999991996"
"294.49652523985174","272.00000000008"
"295.1083501765929","267.00000000028"
"296.104270587685","260.99999999974"
"296.1091501456489","259.99999999978"
"296.619267197356","254.00000000002"
"296.59453767877903","241.99999999972"
"295.0992577570039","237.99999999987995"
"294.219866803539","243.99999999964007"
"295.01237254496147","238.99999999984004"
"294.80281070392294","292.00000000006"
"293.4894149677638","371.00000000002"
"290.8350888298976","421.00000000036"
"287.4231743687482","394.99999999984"
"370.1825410586151","363.00000000034"
"348.29364413730906","336.99999999982"
"331.31944397012893","334.9999999999"
"320.5175364468979","333.99999999994003"
"314.56885162690196","328.00000000018"
"305.00713656467406","323.00000000038"
"302.4201334806308","333.99999999994003"
"300.50443572346205","410.00000000001995"
"296.75437628767025","351.99999999999994"
"296.0229011145168","334.9999999999"
"297.3577744888595","289.00000000017997"
"297.881652809178","278.9999999998"
"297.9968063379691","268.00000000024"
"299.7296888390834","262.9999999996601"
"299.7158321371274","271.00000000012"
"300.8483881846852","269.00000000020003"
"301.24038920623224","271.00000000012"
"302.5298007313788","273.00000000004"
"306.6096555737178","274.99999999996"
"308.172602097992","279.99999999976"
"309.0767559079366","327.00000000022"
"313.3197911089399","409.00000000005997"
"314.084101734191","451.99999999989996"
"312.09506227147705","452.99999999986"
"424.15982473614497","393.99999999988"
"403.5568217142917","335.99999999986"
"389.464332832349","332.99999999998005"
"382.1187246442816","332.99999999998005"
"377.65117538818197","327.00000000022"
"371.26583085601493","327.00000000022"
"372.6119069800496","335.99999999986"
"375.7575008320709","433.99999999984"
"379.4912726624289","527.00000000002"
"381.1009064920178","423.00000000028"
"377.80146140473175","371.00000000002"
"367.039773125866","327.00000000022"
"349.8250548640465","296.99999999985994"
"334.13084496115636","282.99999999963995"
"322.77341580545095","292.00000000006"
"316.14720719816523","288.00000000022"
"311.19036729796295","286.0000000003"
"308.77940939880875","288.00000000022"
"309.37398252341126","296.99999999985994"
"317.00722651861065","323.00000000038"
"331.5846751360722","334.9999999999"
"347.84380093426125","416.99999999974"
"361.2376791198969","444.00000000022"
"366.28504463906","454.99999999978"
"435.86540815874247","463.00000000024"
"420.705687933954","441.00000000034004"
"409.56989792191433","434.9999999998"
"401.069802999864","408.0000000001"
"394.50809571444535","377.99999999974"
"390.466346239228","366.00000000022"
"388.5444195706356","364.00000000029996"
"390.1969481835643","424.00000000024"
"392.25313730960494","586.99999999996"
"394.5120508383651","423.00000000028"
"394.2431551734858","383.00000000032003"
"389.34880003331847","356.99999999979997"
"387.65044970691395","339.99999999970004"
"376.3971607589218","311.00000000008004"
"357.5572969511416","312.00000000004"
"344.4902828244653","299.99999999974"
"334.65836714791953","295.99999999989996"
"326.9340466459039","299.99999999974"
"324.09480048464286","311.00000000008004"
"328.6311795732232","323.00000000038"
"334.3165398855001","353.99999999992"
"345.9988730447193","584.00000000008"
"351.5159310516722","747.999999999994"
"356.4079710476378","543.0000000001601"
"575.2630404622637","543.0000000001601"
"610.2795412211631","542.0000000002"
"647.9594974497513","483.00000000022004"
"683.3308548661016","438.99999999964"
"732.8357116102152","416.99999999974"
"784.256030306439","423.00000000028"
"827.5370391754417","409.00000000005997"
"839.5229319128283","557.0000000003799"
"846.3274139264706","892.00000000024"
"850.5221657058987","743.000000000038"
"858.3767338661246","491.99999999986"
"850.5672660724232","417.99999999970004"
"817.3844075290956","368.00000000014"
"794.0403830348024","327.00000000022"
"761.0420104115018","340.99999999966"
"740.6748016481068","326.00000000026"
"717.2906927305637","313.0"
"710.234643685034","315.99999999988"
"704.3447592028946","318.99999999976"
"680.2719805899044","318.99999999976"
"654.6520114903938","386.0000000002"
"624.2100451393515","652.99999999966"
"596.445710412487","792.000000000028"
"563.4123158285716","638.00000000026"
"600.1571563587852","593.99999999968"
"577.0576509767814","629.9999999998"
"560.039384098814","503.0000000002"
"548.068377931759","432.99999999988"
"542.2306994930717","404.00000000026"
"537.4827531182949","402.00000000034"
"532.0974623160271","433.99999999984"
"529.6866913780422","694.00000000036"
"529.1001729497673","827.999999999992"
"530.0307905825717","559.0000000003"
"522.0506058052403","430.99999999996"
"513.1867034438976","376.99999999978"
"505.3172444058039","393.99999999988"
"502.48124113150016","329.00000000014"
"495.17162885103295","376.99999999978"
"479.81615098916365","341.99999999962"
"470.09554207511695","331.00000000005997"
"461.9300481924736","335.99999999986"
"454.7374396052285","339.99999999970004"
"444.52358931573946","328.00000000018"
"430.02279974828923","316.99999999984"
"422.5565084127635","329.00000000014"
"431.5820249138326","347.00000000020003"
"447.8729232742576","393.99999999988"
"416.0440029819318","412.9999999999"
"426.34125673816084","380.99999999961994"
"430.68745713287564","357.99999999976"
"436.3943823937651","335.99999999986"
"443.17685731916436","329.00000000014"
"449.5943580020018","333.99999999994003"
"455.52629205994094","377.99999999974"
"464.3380478432049","508.0"
"466.8216559032622","769.000000000012"
"468.39155224618383","499.00000000036"
"467.22228897092765","386.0000000002"
"466.64421696453843","355.99999999984"
"462.7181555132352","351.99999999999994"
"455.9316959038946","323.00000000038"
"447.22524296299446","329.00000000014"
"439.9491959454211","318.99999999976"
"436.89786527687306","307.00000000024"
"436.63943533886896","306.00000000028"
"435.15065861262207","307.00000000024"
"432.04826393569596","301.99999999965996"
"428.9105045629568","300.9999999997"
"423.5007016248038","301.99999999965996"
"415.46905953671967","301.99999999965996"
"406.10210084348745","320.99999999968"
"332.92996346495846","317.99999999979997"
"331.6386595623693","317.99999999979997"
"315.96160722611836","306.00000000028"
"308.9271467964237","292.00000000006"
"311.72022020719845","291.00000000010004"
"320.4178919079","309.00000000015996"
"336.06439426600025","321.99999999964"
"368.2387151510431","386.0000000002"
"400.145651668704","437.99999999967997"
"416.74808083256534","392.99999999992"
"422.78560120616095","338.99999999973994"
"406.2674022183499","334.9999999999"
"391.2861327938569","326.00000000026"
"360.9539065961321","317.99999999979997"
"324.6528059172803","306.00000000028"
"314.1398820672474","304.00000000036005"
"308.89753141554064","302.99999999962"
"307.70791261100015","298.99999999978"
"315.8929151604722","314.99999999992"
"329.8817170000058","317.99999999979997"
"361.1294437045833","430.99999999996"
"408.1376091117457","745.999999999996"
"427.2652351861347","892.00000000024"
"433.8518109506719","806.999999999974"
"696.3392491152603","755.000000000026"
"627.7461327687568","676.0000000003"
"583.3563188822995","593.99999999968"
"553.1004565175552","591.99999999976"
"532.2884216204865","548.99999999992"
"518.5013019625904","547.99999999996"
"509.98971008539064","631.99999999972"
"504.4505425762516","786.0000000000028"
"500.3976884501549","1061.99999999968"
"500.0749337489115","928.00000000036"
"498.79831655315627","493.99999999977996"
"495.025711813072","392.99999999992"
"492.0405097913107","334.9999999999"
"485.65698088358084","317.99999999979997"
"476.14625376227235","323.00000000038"
"471.921175977814","319.99999999972005"
"466.92985213404535","319.99999999972005"
"459.7507403241223","323.00000000038"
"460.5171882127453","334.9999999999"
"458.0414532779857","350.00000000008"
"455.30106201654434","496.99999999965996"
"471.2175358818986","892.00000000024"
"482.31000300401894","892.00000000024"
"490.44468537809803","855.000000000004"
"793.3864308368419","736.999999999966"
"745.3295824194852","712.99999999999"
"702.0194234447509","712.99999999999"
"665.6806142013783","625.99999999996"
"635.7539233864502","520.0000000003"
"611.0609901206029","506.00000000008"
"599.0705866656314","541.00000000024"
"600.4827940348307","743.000000000038"
"599.4885568461455","929.00000000032"
"601.3567591837798","743.999999999998"
"597.662095028502","631.99999999972"
"575.3229591785034","398.99999999967997"
"557.0244693103775","334.9999999999"
"542.6715061282351","315.99999999988"
"527.2990971182946","323.00000000038"
"513.7813261653434","318.99999999976"
"496.1248175896835","315.99999999988"
"481.862808481588","316.99999999984"
"472.3994619214113","330.0000000001"
"471.422662280467","339.99999999970004"
"478.4125941734057","482.00000000026"
"500.89813755345665","892.00000000024"
"522.2071385845277","1159.99999999966"
"532.4658474632273","929.00000000032"
"782.0826660819316","800.00000000002"
"689.8642069292572","831.999999999988"
"619.2105758787533","747.000000000034"
"569.1145067903904","743.999999999998"
"532.7845496413635","743.000000000038"
"498.72598314150815","783.999999999997"
"500.17474785809895","899.99999999992"
"521.4401304627854","1129.00000000012"
"562.066981391771","1561.0"
"591.3043348572533","1263.00000000022"
"569.840876395722","1011.00000000016"
"497.91855378370076","539.00000000032"
"436.0438718205578","371.99999999998"
"402.3454400333795","327.00000000022"
"369.76424869208046","326.00000000026"
"351.90440934626736","318.99999999976"
"334.0815670151912","316.99999999984"
"319.2437604380049","314.99999999992"
"316.63648568034574","323.00000000038"
"336.34073770342104","334.9999999999"
"368.02528655959213","449.00000000002"
"460.65449766907875","512.9999999998"
"600.5724399279561","704.999999999998"
"643.0106491208087","642.0000000001"
"674.0257756073443","551.9999999998"
"630.8562207749922","586.99999999996"
"568.9163624198769","502.00000000024"
"582.8042354233808","548.99999999992"
"614.347186484048","508.0"
"628.2084770465217","447.0000000001"
"732.4843868753478","507.00000000003996"
"819.946495580427","763.999999999978"
"888.1124869424114","1263.00000000022"
"945.0846748990629","898.99999999996"
"894.0119853645587","410.99999999998"
"788.1782050449559","378.9999999997"
"707.6054484929556","345.00000000027995"
"623.9424863833636","328.00000000018"
"568.2790762929632","332.00000000002007"
"538.6442822674205","326.00000000026"
"504.5770975374154","325.0000000003"
"480.37884899643166","334.9999999999"
"469.284061270833","343.00000000036"
"465.09340133833047","368.00000000014"
"512.0781893010986","446.00000000014"
"675.4199758989555","1363.00000000012"
"805.7582457013253","1305.0000000001"
"831.6707361918163","928.00000000036"
"867.9131113441538","780.000000000001"
"809.0787749342807","671.99999999968"
"764.1963244018709","638.00000000026"
"728.5150369267858","552.99999999976"
"705.8203864344875","447.0000000001"
"686.2256435346649","446.00000000014"
"688.4114392061362","520.0000000003"
"705.1139193166837","820.0"
"731.2080388772708","1175.9999999998"
"740.0043573735743","751.00000000003"
"709.2874753098133","519.0000000003399"
"666.3972335156849","377.99999999974"
"620.4217880582657","351.00000000003996"
"586.0101758765429","326.00000000026"
"543.6418331098619","334.9999999999"
"512.0633538915035","330.0000000001"
"476.4080065425889","320.99999999968"
"442.8581008134063","313.99999999996"
"411.44317502806774","313.0"
"389.4056131589194","312.00000000004"
"368.3763675953858","299.99999999974"
"359.532482628489","311.00000000008004"
"362.23886835541174","323.00000000038"
"369.7689867241149","330.0000000001"
"341.39630374155996","332.00000000002007"
"351.8670518044801","330.0000000001"
"356.5478120876162","325.0000000003"
"356.0546523290103","316.99999999984"
"353.13227015905653","313.0"
"354.03757149416066","315.99999999988"
"361.37791424677624","325.0000000003"
"371.6584881871836","347.00000000020003"
"382.91792275273156","341.99999999962"
"389.73742725367674","326.00000000026"
"376.71127904823686","318.99999999976"
"368.65405813387383","317.99999999979997"
"359.8065725457701","315.99999999988"
"335.79534360125155","308.0000000002"
"316.31185036058747","295.99999999989996"
"306.98958335257856","291.00000000010004"
"301.39328167761505","289.00000000017997"
"301.44361414407575","286.0000000003"
"300.0289561561284","286.0000000003"
"300.11714309533016","284.00000000038"
"300.65088026266534","270.00000000016"
"295.8898191389658","268.00000000024"
"298.7424060394856","273.00000000004"
"299.16179474622106","275.99999999991996"
"280.06657567149136","280.99999999972"
"286.5452578185674","286.0000000003"
"287.0622798135154","287.00000000026"
"285.2584011204788","274.99999999996"
"284.2318023534631","273.00000000004"
"283.72924004407633","277.99999999984004"
"283.57906556520436","274.0"
"314.3759709379929","328.00000000018"
"343.17677779371814","326.00000000026"
"357.1441622230837","326.00000000026"
"351.16272500408263","316.99999999984"
"345.71583600007233","314.99999999992"
"336.90023180789206","312.00000000004"
"314.902465998577","307.00000000024"
"301.0729522870472","306.00000000028"
"293.1761416016131","297.99999999982003"
"287.9286385930923","297.99999999982003"
"285.6947540415297","297.99999999982003"
"285.7522123530675","307.00000000024"
"303.7849041295745","317.99999999979997"
"346.8101736858764","408.0000000001"
"465.94756550611044","631.99999999972"
"594.8547043056528","743.000000000038"
"662.0932135470581","447.0000000001"
"472.78616566303083","391.99999999996"
"477.99909403121467","364.00000000029996"
"454.4075335493946","344.00000000032"
"447.08444255910894","345.00000000027995"
"437.723272461976","336.99999999982"
"432.9257468396059","333.99999999994003"
"419.2866911629857","347.00000000020003"
"419.20845428030674","412.9999999999"
"428.4417227719296","343.00000000036"
"430.54467659387336","325.0000000003"
"400.21054497834075","316.99999999984"
"365.36436260324353","312.00000000004"
"334.8694394653008","308.0000000002"
"317.48882950278846","295.99999999989996"
"305.3346100197495","291.00000000010004"
"295.13519899639766","285.00000000034004"
"286.7032913474042","285.00000000034004"
"279.92736242719207","286.0000000003"
"274.248704472628","294.99999999994"
"271.65589955760436","304.00000000036005"
"280.9234410435709","314.99999999992"
"343.59684489764214","350.00000000008"
"400.2330267283136","390.00000000004"
"450.2524706321077","348.00000000016"
"382.1233186512905","338.99999999973994"
"381.732935504266","331.00000000005997"
"373.34637967323914","321.99999999964"
"364.3305505626767","318.99999999976"
"358.0513727566314","315.99999999988"
"351.908343381349","312.00000000004"
"341.29012567077814","311.00000000008004"
"362.6463829655417","316.99999999984"
"353.98090616703746","313.99999999996"
"309.3560824879404","305.00000000032003"
"286.8135607010843","295.99999999989996"
"274.61807194628193","288.00000000022"
"269.4873894734327","276.99999999988006"
"267.9020579886452","253.00000000006003"
"269.85919417557113","249.00000000021998"
"272.43149027493376","231.00000000015996"
"274.84832623359415","226.00000000035993"
"276.6667895142138","230.00000000019998"
"277.28179782920466","239.99999999980002"
"276.87104215886575","236.99999999991996"
"275.10952440856556","270.00000000016"
"274.0872987501577","299.99999999974"
"277.0017796196029","311.00000000008004"
"275.9826294821816","300.9999999997"
"286.1740678936694","294.99999999994"
"278.4842149205868","290.00000000014006"
"276.23868201123173","286.0000000003"
"276.7200768135028","282.99999999963995"
"277.6406696155882","281.99999999967997"
"280.9847660749985","282.99999999963995"
"283.70878726896456","286.0000000003"
"293.52977674015125","313.99999999996"
"309.25946636759545","316.99999999984"
"306.29825550520275","312.00000000004"
"297.50713216448344","297.99999999982003"
"289.36008119085","288.00000000022"
"282.0483869966804","284.00000000038"
"275.95473383051564","276.99999999988006"
"287.7809564720174","278.9999999998"
"300.06072962167406","278.9999999998"
"306.41253117833963","279.99999999976"
"311.9211946019354","282.99999999963995"
"314.61807972771715","298.99999999978"
"314.6303319153228","318.99999999976"
"335.23628289459907","378.9999999997"
"387.68221328467456","477.99999999964"
"425.1347694549119","594.9999999996401"
"420.6665622279419","571.99999999978"
"531.2550281683084","461.00000000032"
"495.44515404166253","378.9999999997"
"466.0847079919167","364.00000000029996"
"449.42390584332384","339.99999999970004"
"441.4102470417657","329.00000000014"
"424.378574945173","315.99999999988"
"429.99478708121995","326.00000000026"
"453.66003408095406","373.9999999999"
"455.39670278712293","334.9999999999"
"426.108646957018","300.9999999997"
"396.3800210314339","288.00000000022"
"370.40014322111534","282.99999999963995"
"354.3102050369198","276.99999999988006"
"340.66176970505535","270.00000000016"
"321.637300409316","263.99999999962006"
"308.4114951180205","258.99999999982003"
"297.748775916022","256.99999999990007"
"292.77513626060147","260.99999999974"
"293.84809324216957","265.00000000036005"
"291.86957153903325","271.00000000012"
"295.90026325759567","290.00000000014006"
"307.8841892189071","321.99999999964"
"326.9525733057851","344.00000000032"
"334.7478881316956","313.99999999996"
"311.14255569931896","296.99999999985994"
"300.8205946671102","296.99999999985994"
"291.7999353676186","293.99999999998"
"286.91728574223134","292.00000000006"
"281.9535064177595","293.99999999998"
"277.4491661490984","287.00000000026"
"274.49474885708344","293.00000000002"
"276.44580755091687","391.99999999996"
