"DataEntries: 8756, TestEntries: 24, Epochs: 200, UseTestData: true, LimitEntries: true, Firstlayer#: 6, SecondLayer: true, SecondLayer#: 14, Predict: true, Curvebehaviour: false, Stacksize: 6, useLastXDays: false, Max: 1561.0, Min: 1.0, Curve behaviour: false, Historical: false, useAverage: false, priceStack2, Skewness: false, SkewStack: 12",", useNewMethod: false, decay: 0.1"
"Range: 6567 to 8756"
"Actual","Ideal"
"284.54384907008694","288.00000000022"
"277.97859437010413","281.99999999967997"
"269.79722372850875","279.99999999976"
"265.40594452903474","274.99999999996"
"260.41248470922244","279.99999999976"
"259.02763847809115","263.99999999962006"
"244.77285181031073","219.99999999981992"
"217.91135371571806","217.99999999989996"
"218.13494868662735","215.99999999998"
"219.02600169435743","222.99999999969998"
"228.99250938504588","237.99999999987995"
"238.01062885432793","256.99999999990007"
"255.89136595221044","274.0"
"269.19628207862445","277.99999999984004"
"275.9832337179011","279.99999999976"
"277.00147045242886","279.99999999976"
"271.30676438564535","277.99999999984004"
"272.5414895688519","275.99999999991996"
"278.06723018716633","277.99999999984004"
"282.5826852882486","278.9999999998"
"294.27282890640043","284.00000000038"
"308.44513823493105","291.00000000010004"
"307.6822348336693","293.00000000002"
"303.9371267653965","290.00000000014006"
"297.01291662705404","286.0000000003"
"289.560144935749","280.99999999972"
"281.0065932448405","279.99999999976"
"273.9196720407577","270.00000000016"
"265.59489054602284","269.00000000020003"
"263.3035560079069","265.00000000036005"
"262.77451721023726","268.00000000024"
"265.20100169101613","273.00000000004"
"271.4227789349857","277.99999999984004"
"282.96061612199424","287.00000000026"
"305.1720983938582","313.99999999996"
"331.5768728919705","343.00000000036"
"346.9915631647555","343.00000000036"
"347.245078118471","346.00000000024005"
"346.7767231679173","340.99999999966"
"343.4600791769799","335.99999999986"
"338.90182941240823","319.99999999972005"
"334.00849073648095","312.00000000004"
"328.58931093797446","319.99999999972005"
"330.609067348017","319.99999999972005"
"331.84542199326546","349.00000000012"
"352.67670923595705","409.00000000005997"
"381.95769239624764","408.0000000001"
"374.3128318077235","346.00000000024005"
"336.7615909706867","302.99999999962"
"309.1401222707747","297.99999999982003"
"299.4672620767828","291.00000000010004"
"290.2573977684745","277.99999999984004"
"285.983882199357","278.9999999998"
"285.3922804478985","275.99999999991996"
"281.7056468082279","259.99999999978"
"272.80623270138756","240.99999999976"
"262.1024657396639","255.9999999999401"
"274.2505092644833","275.99999999991996"
"293.5247705742722","312.00000000004"
"320.76970015829613","333.99999999994003"
"333.0747700899776","333.99999999994003"
"330.94303089174457","343.00000000036"
"336.9759098111941","336.99999999982"
"333.22699104283316","339.99999999970004"
"335.70316157710215","337.99999999977996"
"334.5891892508268","327.00000000022"
"330.15657723478296","320.99999999968"
"325.02329737945064","317.99999999979997"
"326.80046851627975","340.99999999966"
"347.9683271015156","365.00000000025994"
"357.2322969055614","348.00000000016"
"345.42548122339815","339.99999999970004"
"336.62796165305315","313.99999999996"
"321.1342289541742","306.00000000028"
"313.47180260581354","290.00000000014006"
"298.65091412657983","276.99999999988006"
"287.7394348717242","265.00000000036005"
"277.75697446386397","254.99999999998"
"271.29338080318126","258.99999999982003"
"273.9604377415608","259.99999999978"
"276.45540986596575","274.0"
"289.9441588223248","285.00000000034004"
"307.41636991173635","323.00000000038"
"336.3050393592913","369.0000000001"
"362.7835622906535","341.99999999962"
"345.0053714927438","323.00000000038"
"334.9979701679422","318.99999999976"
"332.6454134832472","328.00000000018"
"336.11156175566083","341.99999999962"
"344.71321562924464","337.99999999977996"
"343.57928251019285","341.99999999962"
"342.1260696196573","345.00000000027995"
"345.71750659516096","356.99999999979997"
"358.92229103231466","395.99999999979997"
"378.23805969105445","371.00000000002"
"358.7024806337557","327.00000000022"
"330.13160638141846","313.0"
"319.120884414384","313.0"
"314.5598352632634","292.00000000006"
"295.80311296540987","280.99999999972"
"283.61630081603874","269.00000000020003"
"276.3643784574796","261.9999999997"
"269.8611105368464","260.99999999974"
"269.63813086678385","261.9999999997"
"269.8031241558943","270.00000000016"
"278.65874678792056","281.99999999967997"
"289.0011792891247","315.99999999988"
"319.1532758500055","337.99999999977996"
"334.1092209026778","337.99999999977996"
"329.0776793047081","334.9999999999"
"333.34498562212923","328.00000000018"
"325.93630669733227","334.9999999999"
"328.3835338971329","334.9999999999"
"331.7079017298574","334.9999999999"
"330.6285545423784","335.99999999986"
"329.66793132684893","336.99999999982"
"334.3406170946908","353.99999999992"
